Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,13.9008106819266,14.8565631516654,12.5,13.6871940221592,13.6219443926106,15.1042556827893,14.9715447154472,13.7531008317525,14.3327338739778,13.1949278213237,13.082480595171,12.7985468470016,11.9038085068518,10.9634815816692,13.1303676700002,14.6250504432044,13.2745888480611,14.5481172842689,14.487799350306,15.2544213595315,15.7997111785683,16.6031502412757,16.7213521406262,15.534494043723,14.9230312146027,17.1726998968139,17.9913366431017,17.0369958507378,16.4998306723984,16.8464707941723,16.9573750248076,16.0521806686542,16.3030146989982,17.7524070361061,18.281985088062,19.6898929940641,19.1668703122357,18.70455610276,20.2650842758364,20.5567489636615,21.3499344692005,21.7792159612029,20.4533956586582,20.8807837256811,19.5045251718826,20.5507708481975,21.0726553762582,20.9294698859415,21.7512270818223,22.0530559470253,20.0897899012825,
Austria,23.2619333531499,21.90190727576,22.2017169658101,22.8578819152166,23.5861823273426,24.469021610696,25.2168611261517,24.6042864922738,24.704709754286,25.8772578713134,28.2233733979154,28.0964612192644,28.1172535996088,28.294082682197,31.2901100818433,29.2876987004328,32.020022443243,33.2287603753192,31.4160716221009,33.3242067377776,36.095000620792,36.3775513224152,33.3003564552193,32.919044029553,34.7985752588277,36.1811770825349,32.9343242644097,32.3594622193978,34.468041624526,36.5611092009425,36.8650573346172,36.5093035157604,35.5255294995559,32.7976571508405,34.9071825559923,35.7858694399956,37.0414136866786,39.7601532765396,40.3142592519112,40.8774115349314,44.4622204235825,45.8837705381876,43.9244768585584,44.7486216619056,47.7060160285236,49.854737791246,51.3007822506963,53.1703567281543,53.5106092431499,45.6698752607997,49.662908408392,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.2360163710778,41.2013473053892,54.596792597664,75.9883373015368,30.6300464125909,41.5100239631683,55.5476580156918,53.0243675038312,54.5312626523182,41.8776434477328,38.3780943080371,37.3179303167407,50.04893380674,65.5505108578214,72.7158842619896,52.897014749451,38.7593856684784,28.5136990113891,23.4673344375044,22.2877575495414,20.3642269457146,
Bahamas,,,,,,,,,,,,,,,,,,66.1430575035063,67.5156174915906,60.203541101047,62.8772575541618,62.3694348375898,59.5514169006872,58.0159261311173,58.3067928735401,59.270913470077,57.904953954685,55.8032438993424,,57.1688438928805,55.9592545799116,55.1675259388781,51.2145384367964,51.3932729624838,53.3804848112918,54.9163021289006,57.8190634524799,48.2606847366491,48.5015104069768,44.196551080304,46.8452886677186,43.2752958536524,38.4043049176803,39.6998726637452,42.5536263535827,48.0152271761701,55.453031213766,53.9655266092206,54.0251415478732,47.7543396442,51.2350744524486,
Bahrain,,,,,,,,,,,,,,,,,,,,,115.24047775468,120.009200214515,106.777062153487,92.9507308459128,93.8440584290159,89.8405047885106,84.8131068345556,87.4000382574898,77.4944346525551,87.6299241383922,94.6051348088531,95.6386489948936,96.7420474697716,80.7292995363052,73.9849026774464,70.4737676231341,76.2018962277741,69.5052947377756,63.8854261561509,62.964453120943,64.3898674692425,60.4722930363612,66.2375493328322,63.6589358799454,72.7210320748018,76.4271177063368,72.9069162766511,68.3516420231222,74.3121159870802,,,
Bangladesh,9.30725843855294,11.6999989549387,10.8080970309322,11.6562780404478,14.1218555042212,13.3665974075894,12.6518222865194,12.5957179549733,11.6063313973963,11.6653288299988,12.5074840449552,10.7275844369774,13.7325591981427,11.8552472462595,10.3485455666875,8.10054725439057,17.636193139811,12.3814462151157,15.4808517806949,15.7978440585411,17.8829473260285,14.4994660640226,15.939901586775,15.0763639213535,12.9562442449473,13.2328132340589,12.2198672021571,12.1081033542162,12.6990020364307,13.2629985695005,13.5306082580923,12.2272301308527,12.3473325726862,14.1043097932121,13.8643212124964,17.3448596172885,18.6932121026311,18.0181907200815,18.2775142601457,18.6587351403364,19.227325163285,21.500364430337,19.0470386272378,20.0352917575049,20.8134230663078,23.0457746953794,25.2446612315411,26.7024271451155,28.7514766707999,26.5524031417291,25.016235208821,
Barbados,65.6875834445928,58.8235294117647,62.9362214199759,60.855614973262,60.3875134553283,68.5147507629705,74.2331288343558,69.9118757868233,74.9453750910415,77.9468911917098,78.6225895316804,73.8893025564656,78.1222123104371,71.9125250023287,69.317691005341,60.4135893648449,63.9912947103274,61.1010499194847,68.3543136690648,76.1608106173356,72.0443803367851,69.032865474061,66.4673382914573,69.3676637637259,67.1834339931733,60.0688817286177,54.2214649507379,45.4610982722087,48.2414827052142,50.3399389666581,51.7266456922578,50.1355553696365,46.2385887816398,51.5601342925927,49.7322480615927,56.2484934078958,56.6721822443758,58.8366006545286,55.0906254413979,56.8614412355569,57.0412479285695,55.2328363664791,56.7685753383614,57.3866057898911,63.2418555240793,69.3449781659389,64.3784928904643,63.8907378261143,64.1910569109152,64.5845280433182,52.4005353449325,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.64896073903,33.4098737083812,57.8366684694429,83.3668249908659,84.104601757975,54.0535375683882,50.4248870929403,65.6563351807826,63.9066163021563,61.631769351055,72.3983446101294,70.2973237369855,67.3745423382546,68.9854723668665,74.2501770290328,59.08654296872,64.2337921203023,67.2108252637516,68.6617233270771,61.7805884946545,68.3288169873518,
Belgium,38.5006742171141,39.805297416531,40.584551925824,42.6700447308363,42.8293237005105,42.0067982078801,44.3696402393845,42.2675614468502,44.4056565132509,47.6910087327158,46.7565477476091,45.6526934772724,44.8454019161684,50.3422800502691,57.1826257243687,49.7915670643713,52.6886655520421,52.5892050716834,50.8213444210751,56.3887285982862,57.7944860135478,61.3095069028502,65.3098521953662,65.5040712125809,69.6728061623811,67.057307308503,60.0934709962137,59.0097732663537,62.2451605613286,67.0000188956527,65.3449219090326,63.7142212679201,61.421439111942,57.7582715763564,59.835129066662,61.4256301831821,62.482044329208,66.0246004545616,65.9011249524514,65.7954720109434,75.2139540869359,74.2073131536922,70.9522685611921,68.5293215223836,71.0219741627047,74.7639043707421,76.9839377214094,78.7515523952774,83.7265236395217,69.6370949736426,77.307673314474,
Belize,,,,,,,,,,,,,,,,,,,,,68.5750962772786,75.3499222395023,70.5718270571827,65,70.1517306780465,61.2957207745637,58.1303489137591,62.5926559338908,67.8469355350905,69.131209951537,60.065369715642,64.8496871941418,52.92899845394,50.1932469254562,52.4475478412158,49.1196114978911,50.2746904043249,55.7170590590944,56.9376130604477,67.3656849092648,73.6730366297859,69.0983337250436,66.1211077584522,66.0815713013221,58.5988777945779,62.6572834574703,61.8722571551245,61.6857206322081,70.0448958563332,,,
