Tax revenue (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Georgia,,,,,,,,8.33383325987132,7.2419864773073,7.90305220338784,7.6517565517147,7.35241442875454,7.61665802995069,7.03285234497347,9.92742942325607,12.1100333079592,15.4482480512354,17.7153065086424,23.8093586661,23.1385522072723,22.0881208149002,
Germany,,,,,,11.0738436570192,10.8293333333333,10.7325107183938,10.9644333316324,11.7408259174083,11.9819291819292,11.3245159141729,11.3103836413094,11.4454016298021,10.9363756433028,11.1432296349577,11.3522624141061,11.8052295655755,11.8615086102353,12.157506843546,,
Ghana,11.4367966265691,13.1595931185276,10.7686567778712,13.1492471785336,,,,,,,,17.1929278946802,17.4931112111661,18.4776861347961,21.7521055188478,21.321508315786,12.8073759381947,13.8779345698684,13.8959526173948,12.6121267899524,,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,18.9290089131204,18.9490826202051,19.9170436648682,21.5080954061597,22.5222413383727,23.4642953580879,22.009248023591,21.6105104671903,19.9572418434174,19.7659601730114,20.3382897250875,20.4066338543508,20.7464058592099,20.3593223471134,19.6117272126072,,
Greenland,,,,,,,,,,,,,,,,,,,,,,
Grenada,,23.0467312645652,21.7160902365309,23.5222743121397,22.3358800226372,23.083109919571,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,
Guatemala,6.86521167042448,7.32568643787739,8.31394870079594,7.81982716975758,6.76522723609661,7.71473124255776,8.52966373904846,8.69766927303715,9.37193397451466,10.2471509266561,10.0649764496874,10.8630282940689,11.880548998565,11.6738573729302,11.5527349544555,11.2053931831344,11.8569711198545,12.0593627523828,11.2738131249546,10.3494408002119,,
Guinea,,,,,,,,,10.4510890398349,11.1293021249752,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,13.7464619792931,14.4958633647621,14.5348512347871,15.2383532598614,16.3850009926031,16.130518706375,14.5733670515883,14.836322294532,
"Hong Kong, China",,,,,,,,,,,,,9.09463139055862,10.6039144417422,12.0449128934155,12.6623944914978,12.722276709976,14.2449061448129,12.9516741392871,12.7841451943572,,
Hungary,,,,,,23.4910469568837,23.152607832619,21.1343574056716,20.9873081199863,22.0121859837156,22.6418699543214,21.7061516172845,21.1600045912784,21.051205840642,20.6973591796533,20.2789109396042,20.1385927010012,21.8390381471205,23.6724406323613,23.9281507384849,,
Iceland,,,,,,,,,24.5677671814169,26.5686731435526,26.0534208765723,23.6601045919725,23.6356685165639,24.6687103711114,25.8388542717259,28.1066238287935,28.0661489437542,27.3100364433399,24.3017244695577,21.4574148184403,21.864640850586,
India,10.1073690715279,10.2879206511396,9.91733889988055,8.6356627647103,9.08616568415498,9.33342730780752,9.33993995431654,9.11621456326064,8.2108886540022,8.79861272979224,8.9675947551127,8.20811495810355,8.81078123542255,9.23342993464437,9.40587112058476,9.91614048533711,11.0281362898703,11.8958749212362,10.8401015078396,9.6633101134289,9.47897910821866,
Indonesia,,15.6411641187481,15.7580392596338,14.3564067572313,15.5619918465926,14.019366784727,14.0472204640775,15.9964695626844,14.9661706338839,15.4751667001886,,11.5781845835748,11.8269595891699,12.3855323103378,12.330767497785,12.5023780424986,12.2544609662795,12.4272818853744,13.0362100278717,11.4354830723082,10.8921497547783,
Iran,5.99378538796878,6.65888770723327,7.44098903204848,4.09507386964288,4.67815187597363,6.60363234380922,8.65277949514969,10.9895593577632,9.28557933281745,9.05929345275257,6.34188978653308,6.31644258490717,5.51801074847178,5.897925421422,6.04887451475428,7.85160944251178,7.42892297459296,7.26247165693542,7.55670180900076,9.25652898264144,,
Iraq,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,26.2375832191861,26.8685913011626,26.6431458213856,26.0758550532967,26.248530468685,25.7732509002981,23.9264569232948,23.0182111503345,23.4599446084018,24.5451685565494,24.9242053112879,26.2829566717845,25.4525210807877,23.3047763724794,21.156417597633,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,28.736650872916,28.3955043802531,27.6284225467857,26.6988336312048,26.5682339007203,26.9281663041064,27.5780791097322,27.919192492222,25.4119133364229,23.1922668644469,24.3080674336363,
Italy,,,,,,23.5527038820578,23.3997145452778,25.0779537571405,23.9149074153126,24.4329337641399,23.0712572427431,22.7034664170629,21.9633552439551,21.9919492267576,21.4787097878458,21.1051471802784,22.6186818056146,22.9008654667464,22.392367174751,22.8774684130494,,
Jamaica,,,,,,,,,,,,,,24.5451751361794,25.2181833571926,25.5370993700267,26.0097094085758,26.8911507351634,26.2305994358727,20.9994117201574,,
Japan,,,,,,,,,,,,,,,,,10.9170955493956,10.4247668957426,9.22614327043866,8.70365380315444,,
Jordan,18.6328373871004,18.5968967811986,22.9722470258526,20.9185606416309,19.9874211479151,20.7090740244188,21.6865826323394,19.0499222461603,18.1192317681285,18.1052061105074,18.9911513273009,18.669922887252,17.47799982341,18.2136534631556,20.9960841472259,24.4158117376541,23.6312638984759,23.7796279298612,17.1225568441996,16.1650819551392,15.2903523146252,
Kazakhstan,,,,,,,,6.78722058676219,7.29479389602331,7.74536993437448,10.2213950712596,9.64230065323767,12.1343597833771,13.0832376530724,13.9086779667034,17.1493405893716,14.8508425872809,12.2785729312081,12.6609941312107,8.05513661002019,8.93861021561946,
Kenya,,17.6238629026727,18.4072504575753,14.9656205102726,14.9354372843902,20.4943252750119,15.8475751382998,16.0621721300303,15.0594340769165,16.1544422237968,16.8311439614109,17.8317747821305,17.2945998384495,15.7657722070151,16.9728203627164,18.6704592164792,17.3776101832185,17.7901886596932,18.7756093372736,18.8195210628155,19.5454947166016,
Kiribati,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",14.4158148125135,13.4495536652545,13.7202000268711,13.5536018687505,13.8917874407495,14.2348629530258,14.4809454556479,14.2380462553254,14.0048241819713,14.2885885088487,15.4060188715528,14.7053400043475,14.4291668361,14.9474870543962,14.2455903891762,14.7318129016294,15.1906731028041,16.5596891528626,16.2994492288873,15.4493803406605,15.1532938086639,
Kosovo,,,,,,,,,,,,,,,,,,,,,,
Kuwait,1.54507084715104,0.255607392280297,0.085814810222566,1.0926240716402,1.42276427699562,1.14616711856051,0.965076954124893,1.17308423396513,1.4923296663114,,,1.03728623493131,1.18205349439172,1.32473540337843,1.32442769880687,1.02996651549188,0.970478452663726,1.08652282004849,0.867695231427071,0.93968253968254,,
Kyrgyzstan,,,,14.8598427549629,14.6756855697551,15.0640132300203,12.594479322031,12.5113978172243,14.233179448472,12.2148314354288,11.7437942451139,12.4356925042601,,,,,14.218267998007,16.3963384184522,16.508506483524,15.0360908226648,15.610611214955,
Laos,,,,,,,,,,,,,,,,,10.3790278542732,11.4879110725515,12.0281679002495,12.5968437913281,12.726126247401,
Latvia,,,,,15.1383108935129,13.2173171582497,14.1113747927571,16.6690055853378,17.1090727407825,15.5120604810687,14.1556417547018,13.741057306801,13.7289923719137,14.1002862918124,13.6109524653727,15.05447561016,15.8723907035812,15.6449237147643,15.0109042173352,13.4091453699305,12.771579000678,
Lebanon,,,,,,,,,,,11.9012298232129,11.8780771977299,14.4305901911887,15.3767134599505,16.0319055012634,14.9159854346837,14.730195707444,14.8073253382045,15.8940213915536,17.085502098805,,
