Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.6155731830019,-6.31503859179871,-10.2270532243833,-9.79797770691684,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,-34.7720447957954,-35.0796711149479,-35.8417080002671,-33.7897363497208,-37.2828381921275,-37.1214973190297,-16.1080105468499,-22.8156347969098,-10.4722878997059,-4.07363061157019,-8.17659142421382,-25.1697143149776,-12.9645768841533,-10.5839117265752,-5.14181749985051,-10.7029091672095,-10.8992350539059,-17.2920206669995,-20.6897736309041,-20.831336042637,-20.8144571417363,-18.7848314699595,-18.191345653745,-21.6729583489742,-23.6930280986151,-4.41428838361984,-2.31021200448879,-11.1238848607915,-7.22586915155128,,
Bolivia,,,,,,,,,,,0.239986759351208,-3.01214077147687,-2.9066985645933,-0.605389150476793,8.49474135059249,-6.27831580697452,-2.20966178272877,-2.87236184016971,-7.51309805590277,-3.22137235339763,2.24203294917412,0.31227611794605,-0.339567382840872,4.2777385429151,-2.16500605036761,-3.79290977535133,-4.41077482939725,-4.94903891831188,-4.37135829255215,-0.6582530570535,-1.14930481569066,-5.48627485876456,-9.01933290420407,-9.3055950634557,-5.53422751505836,-4.63514519719492,-4.69254979546505,-8.248457002679,-12.8837931187883,-10.4064577928489,-9.0482850154257,-5.28352395150113,-6.08135016083189,-0.766367524407466,4.81251491085772,3.45434451565572,9.00558004223261,7.52940206719813,6.94609110454758,2.81817571702714,6.86328632205526,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.9506490487916,-51.0561335533944,-60.2646318999236,-44.9636957353942,-71.0602152202429,-66.5326963790458,-46.8099317724357,-47.5338996629934,-46.5819399790986,-52.8791369100559,-45.253476134019,-40.2155972157319,-29.6542745531864,-36.6391760133129,-36.7529154501922,-22.7722435356716,-20.8250661783879,
Botswana,-13.3682924938144,-15.3091530364174,-16.912928077026,-18.3509404489961,-19.7656689492999,-18.9024390243902,-21.680216802168,-26.1596451800854,-39.8947368421053,-29.7929792979298,-36.2581580855693,-28.4140969162996,-23.1707317073171,-23.1336677485984,-23.8518874729502,-20.1979821054635,-15.935085007728,-18.4089414858646,-16.4638511095204,-11.1269081113439,-13.3830574252622,-21.825264329438,-14.7122147265681,-0.482171326359995,2.84907358554979,15.0592894693416,19.2021093660438,26.6873768752841,26.5922908308863,13.0883311472508,5.26349372904068,6.50064297588057,6.60787160347056,7.98331415420023,10.5161515995015,12.8859240270765,16.3639880635696,14.8801443523597,5.94573302739261,10.718519364568,12.0637016213453,8.90729980906755,11.1421035657625,10.9788388648412,7.33607612872131,16.7933463875481,16.3525349088743,12.0367165196698,-0.139594653655227,-11.1731659841307,-7.09500892572332,
Brazil,-0.058233517688219,-0.060051102348281,-1.32021219481758,-0.074545748481811,0.707809496095374,2.17983650699129,0.833066260699211,0,-0.609858352016359,0.066690787943892,-0.42032289187116,-1.72466677265821,-1.58489990219247,-1.22990321057322,-5.87060868241808,-3.96700748675156,-2.39690426477383,-0.66537916368336,-1.18881549195057,-2.05166283763962,-2.25310088232055,-0.37909478655202,-0.664796322160874,2.41348039825272,5.62319762535952,5.15264510549057,2.4620121235212,3.2672805716291,5.19567866499237,3.46834169985919,1.23822446906374,0.7630295683411,2.4831550488969,1.40722418391016,0.351390722408199,-1.51819432803013,-1.79936237169611,-2.19976302187322,-1.99943836001123,-1.4049765258216,-1.76348600487333,-1.31545399251691,1.5136464337383,2.9117361236932,3.87690329838094,3.60835472902644,2.90265728740941,1.51757908785937,0.189982136401897,-0.055853363414822,-0.993724020153667,
Brunei,,,,,,,,,,,,,,,72.7008638483296,66.6329771874098,75.3960353801086,78.5464180940664,80.5399528900163,80.9237178330682,81.6972407519709,79.429779391837,72.1165963508849,69.2893807161585,,,,,,26.603426560499,24.5416078984485,26.505082095387,9.96331621423331,2.99969852276153,2.67499599551498,3.88971684053651,-0.707056703174823,-1.30879875599326,-6.93215339233038,7.41310760548929,31.5370385030553,30.3317414802729,25.4956914350993,33.320036017937,37.0085234830106,42.8792780927051,46.5082465515917,39.9552507259567,50.684629300075,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,5.01919399437572,1.11582427103039,1.06642048031046,0.208625413950218,1.88501172409472,-0.407111253975169,-3.43628603058834,-1.83705462208147,-0.330419051364846,-1.73777702759971,-3.6086760031938,4.27413411938099,-5.82669322709163,-7.62796922047508,-0.624998477929985,2.01487840382443,2.58331256842989,5.27073221342155,1.01075235429153,-4.59334477020863,-5.3372815786566,-9.4224390346603,-8.09001709217709,-10.3304932051998,-11.4612505567805,-15.0901098724246,-17.5867869680236,-19.7168471475906,-20.5146453074708,-8.83316713408831,-1.90293477472115,
Burkina Faso,-10.9774392174186,-10.3610904169389,-10.1739809746644,-10.0895171588696,-8.71960330993118,-6.72402408932314,-6.59675746691245,-8.99880087175746,-9.08265258521985,-10.7151808612093,-10.6865299693027,-14.4196215973468,-14.8892724851555,-16.6077411706803,-16.1521525319302,-22.8028619908849,-18.802990780445,-22.4830000339566,-20.2824100485329,-21.0363092868826,-22.3119866418836,-22.1587030369084,-23.4283191848355,-21.6899984578167,-17.7968784159855,-21.1046175934317,-19.980603149443,-16.7223127253133,-16.1322819027958,-14.8970347581203,-13.4892676189486,-12.9011395428935,-10.6810556420446,-11.7219973966123,-10.8259799453565,-12.4663583390322,-17.0530873518965,-15.7913567846388,-15.3235775313579,-14.4879644096073,-16.11094821582,-13.8824219234705,-12.3610241559823,-12.930164231046,-13.5376644519905,-15.6318823730613,-15.2792915483978,,,,,
Burundi,-0.892857516035005,-1.72413862680485,-3.2786884263063,-6.76691707408155,2.01342250910192,-2.18632595861411,-2.21602055759719,-1.08518684699699,-3.0711166562695,-2.43585891966593,-0.932242891647951,-5.73593024674896,-3.34052622317716,-2.31655792831891,-5.78054028209419,-10.7261248706742,-2.92639286785467,0.304191305688925,-8.51870801871075,-8.55949688106588,-14.4826844690572,-12.8943451869076,-16.6954709946266,-15.7021796578513,-12.0483028831101,-9.76028320991159,-10.5924020523829,-15.9937288243896,-13.3624131863384,-13.1978214216236,-19.9021549634306,-18.5878050663599,-20.7277703621496,-17.7790748918829,-18.2099934750292,-14.3519407071837,-9.93308022805017,-4.60432571295216,-11.4404904427786,-8.38823012736056,-12.1731898238748,-14.0389090909091,-16.1666096476223,-19.271390880238,-24.3390727607758,-33.8965231624596,-36.2435717687574,,,,,
