GDP per capita growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bolivia,,-0.159868107038776,3.24512058537979,4.06501688640257,2.45892839387329,3.25172243801455,4.08822066583032,4.47527940036858,-14.1861552878584,0.699488362137288,-2.83846844871667,2.55829584571808,5.37080837010593,3.18659415076419,0.460083165977252,4.74389811925732,2.12791839911266,2.493665049284,-0.323924285607347,-2.15014338520668,-3.56493459819096,-1.89403672807219,-5.97056197571044,-6.04815498470438,-2.29275839227819,-3.76382606700341,-4.66957213265422,0.236407387569912,0.646294238084863,1.4786496259285,2.27787449905318,2.86618915193617,-0.690322062583704,1.87318587359142,2.28816709497246,2.34264304825371,2.0835734423587,2.71224638175838,2.83022049852481,-1.6407446200412,0.429260940059351,-0.348999103459661,0.471212998736931,0.739439288997048,2.23655659321524,2.55214245617752,2.99528337383428,2.83145590789668,4.43827431328789,1.71809344110554,2.49535574972784,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5105551077299,90.4682177947121,31.996001813772,11.7911885469593,5.91303695912578,2.86485495024229,2.87726963987021,4.53273075463399,3.812109655573,6.13813177699649,5.00991404128175,6.18351502067402,6.91020476238127,5.55602890600365,-2.74299011886086,1.00596978723404,
Botswana,,3.85723245353866,4.06513729909304,3.23227460221631,4.02266734990975,2.94007259671942,3.35862462075174,2.84982316569501,7.26198769029544,11.5953363011459,13.4506206859185,21.8155493712499,22.2725500540024,17.2732776236864,5.04535784124751,4.55272787971586,6.52201460661841,7.72923734687127,9.93427148138224,7.90028832833076,7.86955649536527,5.1919527157203,8.30493194378465,9.35456253439016,4.97539196659633,3.65095429408488,4.72115429369522,8.38283186900222,15.7859935856436,9.65516791439786,3.61908028899809,4.34878699143628,0.011777960556117,-0.866079887147507,0.922182318207248,1.82127061195871,3.0775396938425,7.72587529772508,8.28767512029613,3.08413568861327,4.09388043098924,1.95758240921651,7.54274559931811,4.99626709123784,4.80056830287342,0.372627319735216,3.74037381910144,3.34935350417234,1.43191096928446,-6.21680362984254,5.86551359687948,
Brazil,,7.01531048155954,2.07890625773889,-2.11748668402399,0.483229640556246,0.162816776200984,1.33310037121004,2.16709324772965,8.59062853494932,7.00428632073351,6.10916434215292,8.61932001082946,9.40393369179722,11.3139572560049,6.50337357163968,2.75862802968511,7.23330051516217,2.17444151998644,0.834967165007811,4.29021976830271,6.58651221799953,-6.6007772956862,-1.7278969630181,-5.58975288822352,2.96368948639669,5.67467361624749,5.81168653740186,1.59627509078089,-1.95516413458472,1.44099913769662,-5.93807542837597,-0.153712595545329,-2.03491378425751,3.06254878401042,3.73996784070224,2.83646255224726,0.599585219343467,1.80969059113119,-1.46233379509994,-1.2223019389575,2.81969058732272,-0.093924183326422,1.27719905575144,-0.156123329309978,4.42429968445089,1.98734980916417,2.8651090253347,5.0631168331079,4.20595514612859,-1.52040282273101,6.55263046865606,
Brunei,,,,,,,,,,,,,,,,-3.84601400726392,15.286835051818,6.5698790607631,2.76889716775351,18.2101243008504,-10.0987776720823,-22.3271815125761,0.906139229562839,-2.32304923347394,-2.17722061880436,-4.21060268355744,-5.4091812963885,-0.813841922972628,-1.7047070915998,-3.82144430871028,-1.72243919852903,0.269784266759302,1.83838862052248,-2.46542634645678,0.354984534108937,1.73194459199644,0.256407643550418,-3.90847707238218,-2.94409008001818,0.654244773234879,0.527859619200925,0.497087838499468,1.67140819253979,0.783744865679054,-1.52077306353905,-1.59744667217842,2.36962774215372,-1.75534428001659,-3.76881331795819,-3.55589080861544,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,4.55114398901466,2.03229415995101,3.17252117416504,3.15480729475945,2.68495331368095,4.2352413764638,5.89861250809196,10.8200906466391,-2.15169062791671,-7.46320775242528,-7.53406886919072,-6.27126375498497,-0.691213486970113,2.1643584924758,3.31934898791558,-8.55968359353039,-1.04492459641716,5.56344456867973,2.53740712245558,6.24943844231467,6.0979026388807,6.66931794533352,6.11102114270796,7.32991701971821,6.92529736224907,7.12812523820354,6.94529596473208,6.70664930782155,-5.02328470002695,0.880027369259338,
Burkina Faso,,2.47025160285801,4.51840531446734,-2.79287908790506,0.64462908080101,2.02294632871418,-1.23257873221478,6.82880793310009,1.12330569664749,0.062020553877758,-1.83212309265366,-0.580312217966792,0.27427490117762,-1.5832255523957,6.04986938036156,0.821088185177658,6.18800080261069,-1.84587706987854,2.25011861996063,1.28102886781498,-1.56562747126971,1.76641676773647,6.90128040341722,-2.12917437776585,-4.23479388424226,5.77071657817731,5.1923389866508,-2.81627075339262,3.03385013985076,-0.539093860725444,-3.23992624326523,6.15494607627053,-2.46423492010057,0.662816327684538,-1.43572606322682,2.83805236402938,7.98458916674352,3.40588005077815,4.35704241612756,4.43375725470241,-0.988778379722987,3.65981880854898,1.7475936794384,4.97813763971567,1.64405390725895,3.2913400518805,2.4473959881135,0.578084372964184,1.92665232204747,0.461752732520097,6.0346972091893,
Burundi,,-15.2561360055358,7.1830365142723,2.33891023485458,4.39915374403779,2.07774435460379,2.61361936823472,11.572969674645,-2.20532521005484,-3.12425749543573,19.6574983901583,1.69428460767043,-7.118863099874,6.14671536947607,-1.60312853428157,-0.563867812869916,6.15293860950492,9.23187112905654,-3.24620597361212,-0.970661501494646,-1.84077954402105,8.80926060078171,-4.16583863332693,0.361090724699082,-3.0996900927819,8.19890764945789,0.000981509251801,2.27245367234335,1.97737000715304,-1.36255535719006,1.01830742338009,2.75328373806754,-0.912214960165329,-7.79213887465178,-5.16989456762325,-8.97326764968672,-8.80169986342625,-2.24646541215876,4.04271408520754,-1.95752892978611,-2.26732936175902,0.088285922571998,1.99202101283018,-3.86246991038756,1.84376475595072,-2.04834518020166,1.9894201017531,0.462926827759375,1.400407834877,0.618668271231911,1.28270421140537,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85693491850748,3.51562678767283,2.74802075325586,3.16792402256418,2.77552516424645,9.72834222977919,6.82217904604244,6.27350405753127,5.09703381388643,7.0150536455148,8.9205822548964,11.8629185273711,9.47363811611783,8.97117181974163,5.51227443767561,-1.02501203467864,4.75575598739788,
Cameroon,,-0.947821962038446,0.811314293400784,1.44250450752675,1.20484862932724,-0.322835473273159,2.16371793826842,-13.0387697182235,3.75955806082497,2.3007578387304,0.486364370991254,0.821864753432095,-0.005373009349952,2.54699468382312,7.69856878744315,8.10314391460669,-8.24560706432514,10.3531425509945,18.336696172287,2.87014192009344,-4.8426266352711,13.7198929785908,4.48124648887023,3.87193621728288,4.44340096409644,4.97255784734621,3.67617832739977,-5.00265157514519,-10.5115884300564,-4.65267023802524,-8.76874798011157,-6.4885061834014,-5.75221487477104,-5.78931458462974,-5.03352169813742,0.701715770800092,2.44885444587923,2.62595930129999,2.62447653371194,2.02410503356181,1.84581333486776,2.15896036422036,1.67412714789666,1.70482970788717,1.39464602981909,0.033639085491345,0.951596889329949,1.23469511371701,0.657796781858593,-0.214207979253004,0.967543731823056,
