"Industry, value added (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Australia,,,,,,,,,,,,,39.1002607362878,38.6750004862919,37.193166018047,38.6885463008036,39.0218027999367,38.5954924408941,37.9399995480469,37.4681090368386,37.8394149423416,39.1097993124356,37.8281000504715,36.7141587019553,36.7586550753292,37.327885305113,37.0476950386569,34.5694537217581,33.0525950216195,31.360042544105,31.2035121993812,30.1180051260145,29.3924474965978,29.1144453375408,29.0716677766599,28.968902702933,28.3614931734146,27.5776645689741,27.7014782393884,27.094246228951,26.9092792829277,26.1184513224321,25.806336371918,26.3635468673089,26.1323159533826,26.7729622721172,28.0030947374822,20.2806271908483,19.9767293301697,21.2604136356228,19.8053899714472,
Austria,,,,,,,,,,,38.5926321013112,38.8055975197984,39.1161318058199,39.9770741196798,39.9837951165446,37.9670017075797,37.2402995896601,36.8717004559474,36.9966871437085,35.9033787734265,35.9358240273599,35.5332151325574,34.653360343294,34.1899379094205,33.1655049319547,33.4140783956232,33.0794107410538,32.4696697783573,32.3291706041171,32.0165765789913,32.1759591987232,32.0191973211922,31.3977839035756,30.5169314784514,30.5840344993772,30.7251986275006,30.7364287759032,30.7534501368275,30.6496771303054,30.6156261433008,30.6276687383421,30.0064095364918,29.2966125744028,29.253112411047,29.1725984989087,29.260586630138,29.3719931119828,29.861355223753,30.2884299987764,29.117823927145,29.0800380455482,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8975872114738,31.3841393263776,39.9660504613597,33.7840026773762,28.2046139288954,33.598496393376,39.0773262153936,39.9454310468623,36.4568366041602,40.7104443034833,45.333303214439,47.1781949759251,50.1784375683712,52.5839957797464,54.71912667728,63.5953697304768,68.7131633696972,68.494451553965,70.2223848154537,61.0830212615426,64.7198997088656,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8963623949959,16.4082812731461,18.3871438918579,18.2046648497057,15.093370744281,17.2127211091312,16.2447432373226,16.5893333001515,18.059338887561,17.9018322642379,16.6423542648303,17.5474759222493,13.6140716197715,15.0900771590299,15.5267500157674,14.9001976827609,15.3991261691965,17.0118958444098,13.4176966262464,14.0519311504325,14.4435077678234,,
Bahrain,,,,,,,,,,,,,,,,,,,,,59.0881660399113,57.8034939414742,52.8815126933178,48.1913984619766,49.0091919429991,48.452403502675,43.523611913179,44.0258350459883,42.0183709105581,42.4886857853391,45.7345794768612,39.8643791413609,37.2114966412897,37.9449797034927,37.4249695255574,39.9476436103706,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,20.6332854789276,20.890992843367,21.0826800098601,21.9032020186312,21.1511256702902,21.4453976865912,21.5218913138022,20.7707523226957,21.1847379265805,21.0662902250007,21.4669971438873,21.7382314558628,22.4778298704798,23.8154057196218,24.3264615341648,24.5598478039294,24.8718615801105,25.1446203821063,25.8178277332936,25.1566385587082,25.2849817035561,25.940819398594,26.4113540521536,26.262234241283,26.6044497783938,27.2237950222403,27.9069355118634,28.377570491992,28.5140141535136,28.6574736881451,28.4563690622104,
Barbados,19.7014925373134,21.6366158113731,22.1701272605492,20.035046728972,21.3095238095238,21.1950394588501,20.6207259337191,19.4224499301351,19.7575757575758,20.1609952433224,19.5373554235699,19.6227477477478,19.3621867881549,18.480657446382,19.6439725171768,18.5697973165858,19.5304568527919,20.3909680401202,21.3429500203169,21.0785953177258,22.5470403532097,22.8402288935795,21.7688607741324,23.1899316823349,23.7732582288097,20.6456932397852,19.579506649782,18.6882230573545,19.1970319602714,18.5248831454495,19.6594413479588,19.5580514095129,19.7704175859021,19.1024657657913,19.3380607882109,20.082937084047,19.7178216562861,20.4496903895523,21.6178360849163,21.5550657510231,16.3278824469399,15.1946305340962,16.1362048338164,16.1119925480873,16.40005174198,18.3826228839486,23.0933314683358,23.1801625607809,23.363093977702,23.2104127837679,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0971563981043,49.944976076555,47.7797977502557,38.4084392750879,35.9769715618641,36.968386178109,38.5865575252501,41.1740079393594,40.6040743348093,39.2019091370804,39.1701999564477,37.2455489862044,36.9884400005337,38.6875254487051,40.8690861382302,41.7595498709525,42.3829012525488,42.174646117243,44.2601333781593,42.2751097025841,43.911884088986,
Belgium,,,,,,,,,,,42.5342245186294,40.8328841938333,40.2993335883563,40.8428564857822,41.5769194423061,38.4244137837119,38.5277946813653,37.9093346003433,36.9107999881674,36.6764092938181,35.3602244638257,33.0843676810163,33.0326767615502,32.7845378806754,32.1555583641639,32.8592019013472,31.9161468584235,30.8288655078702,31.5728225698792,31.9046178598979,31.3619013253581,29.436812773138,28.9036356137704,27.8360359785956,27.76418479781,28.3601932571272,28.0653062310612,28.3846092676583,27.768694973742,27.0531778496718,26.9949976311593,26.0716563131953,25.4671843421356,24.7148730210066,24.5247612540125,24.0309375017339,24.0003917856087,23.716693612513,23.1255877160912,21.6357547698154,21.7906313583713,
Belize,,,,,,,,,,,,,,,,,,,24.6526399364827,21.9212712170459,30.8754406580494,27.4544385655497,24.2925278219396,24.2424242424242,26.9986541049798,24.9672202797203,24.5417515274949,27.6085141903172,28.4584980237154,26.4751552795031,22.1943748259538,21.8415218461662,21.6779861836238,21.8819713501531,20.5664908283544,20.6478451151587,21.0756288104824,20.3183150557176,20.2527798142673,19.1934060961602,21.1924562065848,20.5573975566109,19.7665500879335,17.525401099251,17.6949342212218,17.4162908700862,20.5376223605353,21.483497284547,22.7515018191048,,,
Benin,10.2269747164422,9.81330180689547,9.79130917306458,11.4694196211082,10.7934373971361,7.98184936652214,11.3066129238027,11.4130625680688,10.8688139489181,11.0630653874616,11.7037494209058,13.4808043038122,13.8881252358127,14.2961257921929,17.0842249652014,16.1643291044538,12.910034428146,12.5569870641865,14.0053645747104,13.3433454454129,12.2816697144448,12.910404442068,15.1224192741912,15.3569747442247,17.0694521772705,16.7024251457349,12.1078445328078,12.3655660072876,13.3946717271665,12.7680161497364,13.228926382293,12.6756849423316,13.2608326792378,13.4081976039844,14.7206530078512,14.5662404137196,13.7245197827963,14.4657905362758,13.5034272596426,13.6948092491765,13.8843898261218,14.4367870039008,13.6505340624521,13.7143962474007,13.3429987840239,13.415874419633,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.76170254429956,8.53045719438114,6.83986441179288,9.17959628595777,11.6902393713514,10.8529076494659,10.0652522934862,10.0407040326294,10.1052304591332,10.447523319267,9.41849903036516,8.71237881784937,9.48384392278483,8.7993953093487,7.79085407948116,
Bhutan,,,,,,,,,,,,,,,,,,,,,,14.5610215497257,18.0704746105751,20.0350915078285,21.1859264564852,20.3208924027207,19.5693832909997,23.09711712995,24.284610104009,23.3095273137363,24.0596551008189,24.9984029534946,26.4152109694564,28.2534462768252,29.331609049581,31.591150985291,33.334804294684,33.2149979463333,32.7072504844554,33.785558668023,35.2693283249022,36.538328136442,37.8911012648953,38.7152589094484,38.3295599254623,37.2820086952274,38.9576342015481,45.3421991904182,44.4771920044897,43.1718824031479,,
Bolivia,,,,,,,,,,,33.021779384534,31.3285239523385,34.9410436527848,36.700587407959,37.676481458667,32.7321715701186,32.9623821489977,33.9476547001984,34.2245327392004,33.546796342591,32.4311187777751,32.6832153960388,34.7197972597407,35.6988794137783,33.3202875964672,34.8474855075139,35.1401174139659,33.1995071952766,33.9821498363979,34.3560614943328,34.7654401765186,33.6520745130602,33.5585345141095,31.9140863527387,31.5856740666012,33.1129382561031,32.2763171410978,30.550386268699,30.3654233206987,28.6484772093039,29.7923638139786,29.1788588283432,29.295389708516,29.3915046390204,30.9742144033637,32.0281618580816,35.0815048927526,36.3892842805794,38.3565725470217,36.2445071143902,37.2904468008008,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8552890287063,25.7,31.3032886723508,30.7157414641514,33.410693766135,29.6648608991436,23.0232940766851,23.1378248818765,21.6810091641298,23.3938685741106,24.9095355950587,25.0908921440033,24.6857641763634,28.5870169030752,29.6349427178464,28.2587032602736,28.0096195551934,
Botswana,13.3741419640588,12.2813134068065,11.3128937190077,10.5209913150802,13.4442552240711,19.2073170731707,14.3631436314363,,,,,,,,,33.636175924014,34.6108589678938,35.7618771726535,41.7980351839159,48.6869031377899,50.7395723799509,47.2842835130971,49.1953898010221,53.9607877615615,57.3205609730884,61.2050336850133,62.3322164895476,62.2476184283253,65.5285620485883,64.9498396058644,61.0199256494272,58.9357471311985,55.7947934192107,53.0475640919957,51.8829023979667,50.8852941141892,53.190689186482,54.8512820662659,54.2582626064915,54.6104926744385,52.6494709878906,56.7248653500006,54.8550343825204,49.5156835458291,50.9530191551348,50.5526177785621,54.2781170009255,53.159366582636,52.7282911683314,40.2070514740324,45.1209069842358,
Brazil,37.0666752251118,41.7452375883064,33.3290520966992,38.6015730232935,34.9528447539064,33.5794184796899,35.1243461599988,33.8506763741762,36.4597236796786,37.3615494618691,38.300630774004,38.2037027361843,38.4372901484525,39.0040734465626,40.0627054205179,40.1737570587939,39.7122790697249,38.644579192903,40.1339118061628,40.6371090187293,43.8252222954435,43.7193962386218,45.5877065146815,43.951914030862,45.7146892598117,45.3126037968608,45.1603782447079,45.8801300267622,43.6460639067222,42.6709726984308,38.69,36.16,38.7,41.61,40,27.525728317434,25.9840125942997,26.1291262522244,25.6583467571984,25.9456931059086,27.7318606799994,26.9236751909059,27.0518541326134,27.845939074386,30.1137819676076,29.2748064462373,28.7846658998634,27.811166602123,27.9052722925487,25.4169231369856,26.8214121245907,
Brunei,,,,,,,,,,,,,,,90.5129577249446,89.5177591683512,90.4695543357697,84.7686192864578,80.6078999818808,84.203965819816,84.824135839903,81.8472545937449,79.6887841762095,77.3150826573444,73.4709053727459,71.8109464288018,58.8052028974219,59.5080073781655,52.2641648814361,59.802677250001,61.5583341169096,59.5727247849883,60.3990773294204,57.2351337051553,53.828371936569,54.2710093889717,56.3041235269652,56.0453463781262,51.5338516224189,55.1845913813005,63.6697730198095,60.0424472227221,60.6620188769178,64.1475464570246,67.8531692058964,71.5603391175065,73.1759374074115,71.3052052182204,74.1130214384814,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,54.4902679425806,53.2332628162892,57.8675071423528,60.3831687356074,60.0493989481593,62.8220505173544,65.1171458148133,59.4904547628949,58.1180905929731,57.6199984598559,49.1967526724477,43.7610531370465,43.4929969067579,37.1844136361265,34.7720047805984,27.8238901049283,23.7794871557476,25.9820620602977,27.2972499139984,25.1204506479644,25.8871408176317,26.9636437561872,26.9398736514405,27.7451545710969,27.2702563200867,28.9856138306652,30.5695565300024,32.2470191164949,30.4119507083438,31.3388904554488,31.3858260793657,
Burkina Faso,20.5889776460359,20.5656850817635,20.195270503311,21.476893398586,21.0460556838505,19.6257803304374,19.8134293710055,22.6135521429105,23.2667825750066,22.9917363264516,22.8658901410844,25.3517734998737,24.2524206166423,27.4656473782516,24.0580735677085,27.2470336679066,28.0873120241857,22.7520039237933,22.7358602646724,21.2853756726634,20.482041147074,19.3426262849956,19.457553647444,20.8077805615526,20.3956739740654,19.7665042557293,21.4846338602942,23.1177943932922,22.3023034029563,22.8362870664985,20.9747121220707,19.9592367280682,20.968606388304,20.3901467958476,21.8029158718094,21.2761814049603,19.8484100101615,21.2154147207456,19.1447154261646,25.1915112632111,24.4108422442242,19.2512889313526,21.1691154661179,21.646824691729,23.1649340400952,22.6527579567699,22.3598825583353,,,,,
Burundi,,,,,,,,,,,10.1673173736212,10.4352576063732,11.6023831922233,12.4785707045556,13.0792007684308,13.4790180980416,12.7916671361132,13.9933146385639,16.0963737936375,16.5714696899436,12.6190320684475,13.4106849182548,15.4478154059829,15.5003684614051,13.8401958685149,13.0019652281408,13.5156713205494,17.1269171689448,16.6672836170071,19.6648512777545,18.9632397769097,19.596116218112,21.1727281542264,22.447996679393,22.4780604145169,19.2482100681819,12.6303317825187,15.8443322537686,16.8425147935253,17.8512825023384,18.7941035695623,19.0260517694228,18.5935093823076,18.9234184433163,18.9234184433165,20.0121802836506,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9885439834245,14.3638947249001,14.8287727664512,15.705899004038,17.0825847616789,17.4065496327088,19.1129159434845,23.0264886980531,23.4862957441222,25.6122312730618,26.2585916807471,27.1896034986662,26.3689636618064,27.5734419735664,26.7794859535006,23.8087768716233,23.0585734485767,23.2519495341123,
Cameroon,,,,,,20.3007465847779,20.6599715838282,20.1042127014634,19.4980647903044,19.4337678653463,18.6360824093605,19.2307661724558,18.8559331058334,18.6172663019429,17.8702128051887,18.242691996934,18.9602890822896,18.3932855460115,15.9570426534593,20.6417273333985,25.5960155700519,29.8671047019898,32.099065228035,34.7213344584958,37.474817391172,35.9513124373246,33.5888186812353,30.0573239230175,29.1731032485421,29.6508114674216,29.4507585063539,29.5195838016859,25.7626350421967,32.4318592828657,32.1570742959188,31.3491648773443,30.8519095972333,30.560219875832,29.2181953643312,32.0848375451264,36.016496670654,32.6052191630401,32.0162765150903,30.6588116601159,30.6703928761154,30.3632879354718,31.3927432463884,30.6440025219162,,,,
Canada,,,,,,38.8489160174781,37.8725248940741,37.3553829130402,37.0487718612352,36.5524571482674,35.0790918542195,35.0666253746981,35.0186824697372,36.2478746031125,37.0792350745911,35.6367573489308,35.3327300740028,35.8289834928236,35.5565297126393,36.7867102232418,36.8850312856387,35.7593983185532,33.9931480776551,34.4983880339156,35.4061495559594,35.101763049467,32.694385012241,33.2038779036283,33.4003065651346,32.6776078581737,31.3068970104719,29.240424341133,28.6181524629411,28.8692307463654,29.9874536513235,30.7286310326269,30.9097917080251,30.8628053110781,30.0096629314357,31.2007114480254,33.2062244357105,31.8831944521143,30.9658054241995,31.2457975097338,31.6184176681487,32.3614279254972,31.8863693586532,31.5454652834517,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5481897122436,18.6327273577243,19.2272294675633,20.6871669892242,21.3688452744786,21.4211172498465,21.8661202634561,20.463188304598,19.8075573998549,19.4826653370393,19.2839146001856,17.7748655571954,17.0230986819744,18.38956811923,15.3243540896531,13.8042959478791,14.7215702657354,14.6928959660789,15.037786130022,15.6949834949034,16.037065484821,15.6668407115951,16.8437113955249,16.4811849325823,16.2068742199917,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Rep.,,,,,,15.5172385057471,21.7630798898072,24.1379363395225,27.4271844660194,27.7522872127782,26.0683760683761,26.9230823730936,27.2727325479173,26.8060836501901,22.5037257824143,22.9139588791127,20.2569230010641,19.6904505056665,22.3082864207369,22.5490211869062,20.0630927484601,18.9082691769945,13.0931950760958,14.6776473842498,15,15.9204816374328,13.5850633198587,15.3632161983714,16.7278887602945,18.8181174992912,19.6624379836338,20.8221390691038,20.7199669832642,21.5440878392948,22.0133834546376,21.1037197552868,19.3488136053853,19.2119121118576,18.873826903024,18.9086712825585,15.8192553925756,15.6171999333549,15.2664007497993,15.6599656475347,14.0207614676967,14.1440119151938,14.2203736612474,14.2221932058001,14.1923166540239,14.8091352670857,,
Chad,9.47407946606051,10.0624548715096,9.18180555058417,9.79900007384729,10.3709071926685,11.7605495744343,13.0546046137571,13.4612165419552,14.5291758253909,13.63959703989,13.4501019836668,13.4377682027381,13.503205925423,15.4003270847591,15.7200539231646,15.4935850637434,15.4324618887015,13.5524026971682,13.0584113865479,10.3991695823869,8.91174867175021,11.7347237649737,12.3876114407993,13.2767657183662,16.033374893367,13.0656747465087,14.9921941635115,14.5562631725073,13.5081611148922,16.6709141775353,17.7171919304516,13.2622585099392,13.4347900667809,14.0805017432963,11.9229738098691,13.6396733235919,12.9297063108054,14.2371586599516,13.4701939768416,12.7529077545579,11.3440474393288,13.5750137158178,14.8393389452117,24.3641447201799,47.1249516577014,60.4384242422973,60.592582568185,54.2645479821418,48.8421500418039,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,35.3851073283383,36.2842030639021,37.4056076171354,38.1847700854494,41.7317953157451,39.8907103825137,40.1544401544402,40.5970149253731,41.6309012875536,43.2352941176471,41.9587628865979,38.9197776012708,38.009438009438,41.2425412425412,49.2924427658572,38.4075219832412,40.4744405486595,36.7290968222461,36.8206944963963,37.8697574457715,37.443387616746,36.5518356726588,34.7282266916721,39.8934354698625,40.4553585135632,37.5863090520298,36.9931046862003,37.9781479342914,43.0871994114246,41.7642921971916,41.4629626512406,40.0833894626138,38.0522082443317,35.775549303665,35.5543137558644,35.2901450299633,40.2224710017693,40.009462440237,37.4586720677508,37.3391642206576,38.3959834162482,39.1439811568937,39.5040542135645,37.7998950488082,41.2015117983947,43.3610280909689,48.6469879855149,48.8772201810311,45.4819935030414,43.2030983802796,42.9353527690608,
China,44.8870382494558,32.5925511670645,31.9980233580354,33.1509040194807,35.3336545156354,35.0911946572177,37.9818007788014,33.9816238549718,31.1821715155927,35.5591091750653,40.4936291719124,42.1529862109433,43.0562708179306,43.1107355813095,42.725545592082,45.7244829307511,45.4258265107015,47.1313901772546,47.8766576100077,47.1003784689608,48.2224559802886,46.1096557232807,44.764624929932,44.3792240481661,43.0862491075318,42.8859813593611,43.7237221052632,43.550660047435,43.7897220411094,42.8311659393961,41.3407047669249,41.7886739333838,43.4546022144223,46.5683097535228,46.5692488676893,47.1751184744472,47.5366904291579,47.5390323275043,46.2121750669415,45.7575521036609,45.9166504946442,45.152453412343,44.7898243178128,45.9689538327436,46.2253366681858,47.3663600134811,47.9484895750781,47.3387965626886,47.446463068542,46.2415448575998,46.7547519703292,
Colombia,,,,,,26.9157006197613,26.3690986424823,26.7546673374842,26.6021030535657,26.9367452315352,28.2985548820926,28.3613914001916,29.3085655314758,31.1405385899986,30.612509691609,29.8314678952263,31.4844301543939,30.9401546080823,30.640270468091,30.2569045080056,32.4882621157956,31.4838230326891,31.7694392060616,32.2854003727644,34.0091932789061,35.5424411760995,37.3179466034962,36.0040419928584,37.5828144082813,38.2338507492708,37.889550066766,37.1456779329583,34.9500944611467,36.0006673657451,31.433149475085,31.6926798872846,30.764185358659,29.3673426926316,28.3717490118973,28.6001503573698,29.4693264822095,29.5597215646903,29.6925821308916,31.3180252058963,32.2530067869253,32.6485433272009,33.9286186496698,33.8056939557698,34.5414498226123,34.1029165776451,36.2258863076444,
Comoros,,,,,,,,,,,,,,,,,,,,,13.1716100219987,12.6308328113465,14.1091188781593,14.2083963855422,15.3189421596981,14.0699146979877,12.9482888918184,10.5903263214847,9.38086476797044,8.30954278141773,8.26453565237829,9.36665230504093,11.440858383718,11.9586772430057,13.617147806751,11.9430493480164,11.942509498824,11.941279107339,11.9429608721656,11.9427526220544,11.5197365104919,11.7178157296372,11.5889222118539,12.719042365557,12.1984840042645,10.9947430765787,11.8134327834633,11.8570559936335,11.9795290325048,12.1095007331937,,
"Congo, Dem. Rep.",,,,,,32.2549279572647,30.4053165266945,30.3507616821609,34.0417138352115,38.7337246472604,45.2817374727567,41.6062795829931,38.0361593627304,42.9056543746471,43.231802797631,37.2237111643207,30.6730096974642,25.8731097938369,25.1104660248455,27.1350806951459,34.9982906216292,33.7218846314743,27.8893645575288,26.9920622267335,29.4206982752523,31.0462757928907,26.4134646025159,28.2707331751143,30.1834252300914,31.57768949202,28.9905825239197,17.5704946712293,16.4829839682576,16.5074758796816,15.9999999129757,17.0000002606482,32.6356495707192,21.5350708448701,20.8774132245766,18.8349518308154,20.2964176394896,20.1672107538361,21.4992763218422,21.4992415446849,24.4510506152934,26.9329282171984,27.7323667726435,28.4079177853274,27.9594527691725,24.0435299383592,,
"Congo, Rep.",17.0278622410263,18.0107512822294,17.8921542545181,17.7725108650751,17.802195383476,18.9300393148067,19.7416974169742,19.8630170998317,19.2926045016077,19.4484873430986,23.9473684210526,21.8714694910475,21.256038647343,22.1026490066225,25.4080908445706,32.4209245742092,37.603993344426,31.6489361702128,29.500756429652,36.3921647058824,46.61487236404,50.8953295181835,52.5633802816901,54.3293293293293,56.5884194053208,53.914297486609,32.6459898893291,35.7882535864427,29.9160864946889,37.9790100822961,40.6430446194226,36.0348640561988,35.5100463678516,35.2979871069596,45.4843438250743,44.8683961370952,51.8427329383704,56.863612893708,46.0568646204678,61.2709583937073,72.1526717557252,65.4884538397696,63.3189225141337,61.1723594842012,65.864484078508,71.8815211636092,75.5009152525602,73.2408412656551,77.413661444131,71.1169461362441,75.3771973374427,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,32.4802443281,33.9780150145,33.1016647369,31.929235797,31.3403232071,31.530690962,31.5945790267,29.8923566352,30.100094236,30.8956694708,30.1945416044,29.5531001875,29.6029952668,29.0369945101,28.9285450315,29.8009308107,35.1022952926,32.0841343697,29.7485770383,29.0929417967,28.6232779011,29.5279934101,29.1528070372,29.1778030229,29.2678863546,28.6822659516,27.3296597494,26.1416907527431,
Cote d'Ivoire,13.1387841116603,13.8789745366226,13.9819109149544,14.7002064375659,16.0638070969403,15.9272399196239,17.8855294959217,18.8813802732462,16.2988642975086,15.4280867404785,18.4936584188182,19.6928011365583,19.7382525031385,17.7428023221617,16.0893098722137,17.0401440017202,16.3644514990094,15.157224662791,16.4796935085616,17.0600028614928,19.7404531705201,18.5880683862493,21.2881047597702,21.4805447259439,19.5482858394795,19.746075387055,21.2824299019845,22.3648453980146,22.6508294933407,21.7836967004096,23.1705869992956,21.7064409793132,21.3068652050088,22.7538917465204,21.039823262662,20.7679999121525,20.418352349701,23.6498883277547,22.9807322539152,24.1753977493209,24.8506748284277,24.0902446281419,22.9226089267351,21.6476755519668,23.0716764867316,25.8654893942064,25.8831687036638,25.2861051599627,26.1172464388191,25.484330496114,27.3874281423462,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7513761137827,34.5718510755681,32.9124847287718,36.084280129119,33.2743154017826,31.7594179893437,30.7611285785447,31.7415773056784,30.0413372998728,28.6062065366737,28.5256134721157,28.3384734377105,27.7261419448085,28.1462577176318,29.1420359650477,28.5419419782711,28.0995657530708,27.4870863735304,27.887640340134,26.3472689139195,27.2808806552375,
Cuba,,,,,,,,,,,18.6224570922752,18.6261859142677,18.6264065355278,18.6217958193951,18.6133809255376,18.6245192818231,18.6448369699466,18.6275097254285,18.5987538817137,18.5713665554832,18.680333027637,18.746581479531,18.54099321197,18.4554646758788,18.4352559511663,19.2364184761828,19.0772534123184,17.5292369771828,18.0335538589638,18.3361224206708,18.6277961366435,17.7273839847349,17.7694565597977,17.4758705328994,20.5229673388539,22.8752352205694,24.2725049633189,24.598209048606,25.0372915919261,25.5278089683763,27.8865791251543,26.0234451488495,24.5703285146432,22.0837756351341,20.735072553158,19.3705308030803,20.2211227367343,20.4940880838069,20.7066124053432,20.3529641525012,20.5179578512297,
