Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Hong Kong, China",71.6261881317719,70.2648897747099,69.1096943211438,68.8453650713148,68.8239088368093,75.9067357512953,80.626817447496,90.213512369201,94.9683593147091,93.1879165584697,89.3557212998014,84.3882904417471,85.4211532412224,86.6342082980525,83.399544253766,89.4420165938312,83.361988974401,85.5843883332168,89.6318250791989,88.933219142314,91.055894180138,85.9018902579016,95.8818304407656,106.568902867263,107.174034976701,109.301614538648,119.777592015604,129.766819145375,130.127031933174,130.656680951046,134.187781977455,137.761822754699,135.056766307558,133.944417450291,142.934979794568,136.363849782361,129.331948614905,124.265828997442,127.022285539206,141.764080924052,137.121596315915,147.362721134998,168.131305856992,186.652710165694,194.65196069753,201.800710545974,203.721809885895,208.776699324797,190.902488782549,218.861631753032,225.491487937908
Hungary,22.8170747506154,24.199095207877,25.1676693594277,26.0904969001573,29.0279201356712,28.2632130185886,26.4862123303923,26.2387927959714,28.3403219499443,30.1336949853856,30.0332273789168,34.1198588090853,38.1929390264938,41.6072685478051,41.2044604415164,38.2745862176158,41.0864903502502,38.4124099208067,41.0900417552172,39.0927713232857,39.5199714839623,37.954948335301,40.2416644075474,41.0811523461454,42.1977094938558,39.638592946363,37.8671200371829,36.823677903641,36.0369809494014,31.1444000970654,33.1904519122747,31.8598218115091,26.7569712571813,29.3055184436374,45.212837184909,48.9662562594786,55.3555442832458,61.7496671498926,64.6169629417638,74.6043772323531,71.9841129753392,63.2500584862275,61.4064712890994,63.3457033523997,65.9471131332084,77.7441739156144,81.304559042795,81.6598418821857,77.5906879425588,86.5450557884274,92.265835058943
Iceland,41.4016023779788,45.0345798553936,41.161827070046,37.0674206412142,36.2350402883212,32.84932030917,28.054598130464,31.5862048985704,43.2032128353477,44.9823891386436,37.434926875785,35.0151854337948,35.5666074040087,31.4130288247777,33.2879029586499,34.5385742808315,32.9231790999792,36.5233502259423,37.947101404835,35.4933112656473,34.6207927902383,32.1819232739049,39.6912845701145,38.0117336801312,40.2506981484828,38.5892325702537,34.28164540165,31.7613509198838,33.5312453534873,33.6464344239981,31.3024451453998,30.3004808587725,32.7742746666896,35.7680390870462,35.5270071756278,36.2840504140618,36.2343366959877,34.7182260828792,33.5837026171116,33.5763302508055,38.7996894437526,37.4311638192088,34.2906504508278,34.0704865735239,31.7341266222294,32.2420767951546,34.6456597246922,44.399839180019,52.8422125585054,56.3331630668545,59.3165855181411
India,4.22941521627127,4.09712428668107,4.2067302362031,3.66134245323425,3.25046951299105,4.0711550832883,3.96491258671132,3.96916403966288,3.64983589092339,3.71762924490426,3.6040020721351,3.95807673282735,4.13622646356846,4.74805468377059,5.54973679234113,6.57127288558658,6.27315982662056,6.20599117964845,6.63331023632521,6.03373787177685,5.83372104797749,5.88017953084836,5.73701969094041,6.17510891805101,5.16399437001634,5.10666639098203,5.50798767008771,5.93120461357283,6.89520944782217,6.93178792965576,8.34784516437394,8.6905218211283,9.6647277660191,9.71766683832821,10.6570756078154,10.2061840989737,10.506466119601,10.8285692790295,11.3158361690778,12.8248305451382,12.3814376441691,14.0499173636928,14.7089376828614,17.5513361415011,19.2801488316686,21.069475195292,20.4308943344007,23.6012452632731,20.1326180030803,22.7712577349135,24.6359413685831
Indonesia,10.7110467741935,5.8129025038852,10.1658977846323,13.7321836344315,5.52757813688809,13.3669573534348,9.19501251226925,11.3888853015144,9.45139356810223,13.4510065000697,15.0376670805668,17.4937236018154,21.0394076064593,29.7955450808799,24.0088460186314,24.5298548694853,24.8444683234437,22.9125397849455,30.5623603934559,34.1789969324861,29.0402214187187,25.3032939008804,26.34251788999,25.5871109091539,22.2007308707489,19.4872360449385,23.9342584150608,23.7760208093613,24.2866484571197,25.328512832484,25.7972393315386,27.8914366213785,26.754788364865,26.5114276270769,26.3121645768331,25.8245523827441,27.8592627913516,52.968135360628,35.5141287039862,40.9773085458247,39.0321334465554,32.6876211622863,30.477655734003,32.2166931956629,34.0672668843267,31.0347163143165,29.4357184851264,29.8082841673734,24.1591195220991,24.6209932937588,26.3273803270252
Iran,,,,,16.2798149023837,16.5161756198731,17.6186150192813,17.8613762913959,18.5441044455488,19.1635150003248,24.0561051315553,24.106483927841,35.1543467074508,49.4318783982539,43.1419092237526,39.8380822107604,33.2120363213399,25.0965425291347,28.0880491150047,14.410976155706,12.8186714042447,17.7315356498537,15.4532688371574,12.0072473107283,9.38889663087999,3.92963643222217,9.60898554996489,7.71653459341757,10.1541097214495,14.5239230326955,14.9659006321152,14.5139710568183,27.4067403142036,30.3543091397744,21.7085510591742,20.836118581412,17.4275618694596,13.6287208080614,21.4162329598625,22.7074581125266,20.5038894482382,26.5379502625858,27.2339152795432,29.0472763066559,33.056609094095,32.4507442182675,32.1789541754948,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,32.1040508194462,29.908390537866,31.115618265564,30.9639587064679,32.282568481721,34.5363334338156,35.1014495577274,36.0214142448746,34.6197718315395,34.341247460488,33.5445952178237,32.10400269362,35.3038802216376,39.5464167842402,39.6651318161824,42.9735909625012,45.8863377538762,46.3883207710889,46.1916432835206,46.0372081446112,45.012915603665,44.6615122520359,48.7271274336626,55.3230806376636,56.0781929896084,50.9529950900897,54.4198217548614,57.6914490321666,61.1532233222599,56.7718009882764,57.6804778984344,60.6107195775643,65.7595591546648,70.5260461295983,76.2959252724481,77.38519168384,79.4990681646101,86.902978400347,89.232194381599,97.3455031835249,99.1451038229472,93.3711020893641,83.1115000542894,83.155059755256,81.0748570728624,78.9168444131813,80.2330523295882,83.4385713533283,91.1411754320082,101.165280218475,106.618084213013
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,11.5340285203908,17.7984040517895,18.6491325974314,17.7296053517025,18.8535031847134,19.9413735343384,23.6889991728701,29.8044309735152,29.1593695271454,27.0329202786789,30.7472123723672,31.3256628314157,30.0505571605448,30.0884797569041,32.6344202944901,38.9465912883423,44.5656706045865,49.5725415877027,47.4353787367948,43.7793427230047,42.4985291233575,38.1487045415932,35.3804396179337,40.5840776308963,44.6601264910242,39.4514718850573,39.2049088286643,35.102092712084,36.8089740404728,34.6921039168971,29.8832077333986,30.6322571057641,32.4457605336286,32.616372691088,28.6401788000194,28.1766473492166,29.3047968270598,29.9457257533098,34.1306594456,37.3041915814899,32.911453609025,34.8171882297992,36.5719307984087,41.3273940052037,42.745439182446,42.7479220274348,42.4380054536556,40.2754705194579,34.6786328110217,36.8675593865349,36.9081188542555
Italy,12.7924035044913,12.6705820051651,12.1648892158775,12.8182632951046,14.2891816966252,14.698292555773,14.4631802456824,15.2407957181034,15.8441183215368,15.8038130015467,16.2379176813501,17.0023590235483,16.7854948074476,19.306189386161,19.5232183961873,20.8910848757006,22.2824245833875,22.5941350658943,23.3304381146202,21.0384509349012,22.5801628141666,22.0117559055455,21.1914659115525,21.8915292669412,22.0040653583277,19.4936881738797,18.7434214954036,18.3202129126949,19.2985184732207,19.0304364183784,17.755349388221,18.2172430903278,21.2604413013853,22.7945880923713,25.7142774653653,24.6811397532633,25.20755186011,25.1543062232539,24.2799264505315,26.7687954706717,26.85797237975,25.4820547398907,24.4147682282839,25.1899103763261,25.8732813470489,27.6200839718008,28.8514101354849,28.4562513393375,23.7468684469792,26.5606439675077,28.8393160988179
Jamaica,33.2967757564723,33.0163997695853,34.166342334117,33.4573451997834,33.280529953917,37.4521317334695,36.0476305027664,36.8356953055802,36.7583346668009,33.2308236176087,33.8194011228946,32.7774296095631,31.54834524708,35.6752515746573,35.2638073041714,29.0461369670322,29.7667815921237,40.5522548843195,49.8072298511184,51.0674380938681,47.189508886556,38.040937484183,35.6961045917318,55.5783518397752,55.8611614882054,48.8429870688207,46.6017907309471,43.6311221721909,43.6122955473336,48.0631754557378,50.2073386871094,62.2745440169299,47.3941676621743,51.2996775299539,50.5215109952857,43.786345168071,39.1085562096084,,,,,32.7619366594227,36.6134304530144,37.5492853454251,35.2876872957468,40.1399719857092,39.7412511128335,41.9356394015031,34.394404783497,31.3117141356337,30.9124665551334
Japan,9.27792129717682,9.43095519799551,9.03785850884461,9.49411062251397,10.5176731688727,10.5782104657665,9.65383114287984,10.1119053036465,10.5561704838264,10.5934991836802,11.481866737077,10.3755833294634,9.83895924845578,13.3321396453763,12.5448940476156,13.2894704911839,12.8369781639982,10.9001274272412,11.3393501583073,13.4226557146875,14.3988588165902,14.2020678133816,13.6327218198921,14.720163674832,14.0948137408625,11.0997377403567,10.1465037366704,9.76455482943092,10.2377904721139,10.2880224373607,9.87444004571726,9.7692318218037,9.05728436205025,9.00209664919392,9.05257631497594,9.70051264340693,10.731456887379,10.7774668028521,10.1733758074815,10.8773781037932,10.4488201997376,11.2528373405029,11.8727533542826,13.2103350774718,14.3126554118551,16.1716010081174,17.7467643659966,17.7111637792834,12.6956669023368,15.1902388924913,15.2210236416878
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,33.5586408476434,33.8113542282673,34.1460284871038,34.7808358817533,39.8627467592985,43.0272919077112,39.3980365645759,34.9756657735003,37.6652871706874,38.6842886842887,29.3076354224441,34.2388843611338,45.0803744921392,57.3078706631255,61.9158265562343,59.4585128366782,50.2326615727849,50.340738255092,47.8541077112542,51.7223103079872,52.8713641078272,49.2325897181251,44.7846473420412,43.3022220800448,41.8120615241047,42.1104706861621,47.4114842393384,47.3611418455411,52.1909430621041,52.7059753929296,53.874487676651,54.23436604425,56.5059160454525,45.8828286439364,47.7885659992075,45.5780129513077
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0049724709784,37.8953951147228,37.0647377091299,38.9738609136355,35.2688049307021,34.9168566674192,30.344203290498,42.462095508839,56.6024267995373,45.8950186109102,46.9906407561754,48.4170220946326,52.5004104250221,53.5424680560222,51.1512080913193,49.4398353779057,57.2499262314857,42.0407367344818,43.9572639969981,49.4749641564276
Kenya,32.7171704543739,32.0378098006314,32.0329469408948,33.389413639988,31.3973152068786,32.4116335162739,28.4643343934575,29.4008110568567,29.5286550830373,29.8257255614152,28.639355102812,26.5878288599522,27.393834680633,33.6758838502876,29.8236859697502,32.4504712438085,34.9588687563848,28.9355183365614,25.7531542356879,29.5169641636482,30.4598813209494,26.6574659277586,25.9499323662997,26.749892695428,25.298932983486,25.8483553067337,21.3052213820891,22.3712135573493,23.0330294053591,25.6926059838497,27.0416323059428,26.2603741891773,38.9036301587842,37.040280833904,32.5917012234392,25.2006019526032,22.6863873534444,20.1692608275285,20.8327351985075,21.5875711376296,22.9315763643368,24.8979726147002,24.086815305421,26.6102585752973,28.5090302142012,27.1117584050458,26.7785238501172,27.6069771193759,24.1520334582847,27.799460716121,29.1110941939701
Kiribati,,,,,,,,,,,,44.0994181634202,52.6005579051561,69.3998355713894,67.599876417045,56.4001352199441,55.7994448101193,54.9012658227848,61.2830465799412,23.4378184486202,29.7886523154139,9.07287712458534,13.2445668809305,39.2304628863769,21.1038961038961,9.43561750657959,9.68714331704176,18.102596580114,18.5901551631889,11.6370429383808,7.76048281645628,8.56367181353959,13.2478911861568,26.0599603669454,11.5805171103721,16.1427005329033,20.0695415974934,24.3673128709196,12.2459424459974,6.88190099049449,6.56553095182546,6.95843310877912,9.77847381488727,9.40745110844261,,,,,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,5.27543356505077,4.89019769896619,4.63399786892986,5.6720554240903,8.30201066243506,10.020562813771,11.0228949166047,12.2730570593416,12.9318226529796,13.6256738666377,14.9711979882453,19.3887953721046,28.6819715417339,26.732838756959,26.885934084979,30.0115348316963,30.3694099573443,28.4158968017264,26.5909069422253,32.0645572264532,34.26849137196,33.226253373916,32.9725392813507,33.3685185727483,31.9721012454036,35.6429447264966,38.2713755292434,36.4216714134117,30.7954262746885,27.9538681070519,26.3330641682245,26.5903091500877,26.5285171952917,26.6377177269684,28.828292811838,27.8619712507724,32.3925325592892,46.1640585429376,39.0636178006556,38.5641772042783,35.7406459044861,33.1258034784798,35.3689941921256,40.883067416123,39.267297866456,39.6839461243092,41.9229487196581,53.0088894578391,49.7302158948874,52.2783109056539,56.1595637380184
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0781836256935,14.7427647900405,14.4220233543701,15.3716388917289,18.5264256570832,20.0543407944107
Kuwait,,64.624808575804,65.3902798232695,64.8648648648649,67.6902536715621,65.6908665105386,59.5183486238532,61.7245005257624,63.4984833164813,59.8168189475414,66.348244497241,68.5997289617486,71.9344214836366,84.959351858746,80.470320519042,77.9331691782851,72.0262646275217,70.5391266427662,77.9701210810642,78.3490477402122,69.4981237734204,54.5047726943433,59.1293734517707,60.1129758810735,53.6749201570243,46.1865824527261,52.5401345914521,47.5646077198555,52.4016848425741,44.9389496533012,16.9020388145346,40.470266697821,47.7711858645714,50.8536594334061,52.3539561252157,52.2838380253392,52.8539604844403,43.8593159556606,45.9368961097684,56.4736398271392,51.3036152882908,44.6160466609146,52.0922408354945,56.9161386082092,63.9766032297715,65.5446216491347,63.4142598446948,66.7592125189298,59.469125270687,60.074647808273,65.920469468155
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2025056095737,35.3322528363047,35.5861340061463,33.5312902683624,33.7618144302449,29.46714483032,30.7380990029616,38.2868893328163,36.4832920828287,42.2029196155155,41.8477190592486,36.7246725579394,39.5814150454065,38.6810291754879,42.5558971026944,38.7317243347816,41.7205257288878,52.9129788573035,53.5489560986404,54.6983469575282,51.5543226756177,57.2071907137035
Lao,,,,,,,,,,,,,,,,,,,,,,,,2.76422772282107,4.03755901316935,3.61374405570405,6.09243684372573,13.6286198050318,12.1306752081236,11.3287632866593,12.9537264815376,17.0257554208805,21.4616192643594,24.9869407181369,23.2203889137345,22.6987496242204,23.8922247908414,36.4558727551498,35.8758415232904,30.0958469211548,28.4883602913339,29.3845205084195,29.685581567347,30.5527626110084,34.1575265364588,40.3981494544642,34.4991478325406,32.0161490029485,30.8815536704968,35.5426319082331,37.6805145144399
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.709801409353,35.2485609628467,79.9440944819183,73.2379004771643,46.4577723378213,42.6727646215263,46.8157732193362,46.8466698475961,47.1803018268467,40.3680746841035,41.6417934324558,41.5773929942007,40.8747335379646,42.0709118946411,43.9601886029559,47.849124085174,44.8843495967557,42.3460044422295,42.8159542067349,43.8874567705142,53.8115183533836,59.3157262905162
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3595031516989,18.0028443222671,13.2086547933367,11.3777958256098,9.67473894480568,7.87060873542283,10.8064548758457,12.8463200009354,14.5319587628866,13.7634326360473,14.0639896274263,14.1775557263643,15.604915999549,16.0986422831809,16.7365813377374,20.059670593966,21.3837050523441,21.2528823981553,23.0164403145104,24.4282721358474,20.6217933991883,22.1745733940856,23.744301649451
Lesotho,12.5490196078431,14.38127090301,14.8809523809524,15.3638814016173,15.5612244897959,10.8641975308642,12.0481927710843,12.075643654591,13.5823429541596,12.2199592668024,12.7970749542962,16.0771704180064,14.268727705113,13.6585365853659,14.4665461121157,17.9127725856698,11.8976799524093,17.2562553925798,22.1039705280393,21.0056530794406,19.2913385826772,15.8180568285976,14.1206785484217,14.4166194373366,14.0606623336428,14.0839545710041,13.2058054563594,21.2197795678847,21.7407390554193,18.0862606487103,19.0196606424149,20.5977926460062,24.142950196769,25.0342990383262,23.6881312538769,30.6399560464703,29.7180929389959,29.3481654881366,29.6246716554442,34.2184333695875,46.480355976755,61.0864102483663,54.8865741877026,56.3685014049583,48.8730436699539,53.544421346913,52.1026076161438,56.2788229346554,45.8161925612788,43.8093113596737,46.3982794832849
Liberia,34.5800747956144,36.5888348138573,38.7055629173259,61.9378613795582,62.8978068189039,67.9867350762121,78.7283071332934,84.3145185569464,89.2292743217476,74.3114212711439,73.7242334682395,74.6540519401636,85.2524142753527,83.6216857678421,69.8987933345508,78.2837595163583,68.2010195001265,69.7116289794075,68.0041577663441,71.7785944296826,69.4613031174838,62.3891011419365,59.1468199935897,55.5111516718796,54.8575409862101,55.1747483213368,,,,,,,,,,,8.78675228117607,10.7897664896316,14.5540955574198,26.139145986985,28.5613776693226,35.7136791063478,91.5139462108936,26.4594220695428,23.8169729543554,30.8065247772721,32.3717119341658,34.3658238348106,15.2643992827452,19.1436523330108,27.4845298316036
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6762370189371,33.8314218906581,30.5890367885966,28.2447492498928,27.0352162135046,29.1760299625468,28.6535303776683,26.7863453247579,19.3690158530843,23.8630737675932,35.630561875414,31.8562456385206,46.2103174603175,62.3850102707511,63.2550212194946,66.4328541066605,71.3030640931622,67.5594923965255,67.3843117011897,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.089552238806,29.6385542168675,23.3529066353494,82.5444367903365,55.3762407950781,47.4116404153853,49.9682555716422,51.5786809363492,45.0560020614801,38.6298435701997,44.7471182942401,49.784834148558,52.7058715078327,51.1546821069042,52.0520656227172,57.5321535822726,59.0837609067455,54.0917065221027,59.8773873760157,54.6295765683598,68.5767760976556,77.7786163047375
Luxembourg,89.0108759537038,81.7858584800695,79.5080894058701,80.630475185562,83.0013679697415,79.463225452284,80.7670298963942,82.8283497329417,86.7025195534212,91.4415134422354,90.68180667218,85.2678337941186,91.9023769557655,105.588599496345,95.1355606768188,90.6606639024602,89.358909387077,86.1869675888608,93.5403518157078,91.0679281188674,89.1404157211651,91.5650946448738,92.8345636931433,104.000410005419,111.577573938393,102.108822551215,99.2661102878888,100.860119222341,103.687940991794,101.548204566485,101.438946268008,100.413423467087,100.684538262061,104.019625612137,106.401863900821,111.145651967457,120.92261215938,127.52447954056,134.283314725969,150.014546512474,146.637128932211,140.709960970077,137.033393875789,152.391189491519,155.837063710996,169.890104705712,175.897409912312,181.779698433298,163.539894244514,172.366716367418,176.490336566208
"Macao, China",,,,,,,,,,,,,,,,,,,,,,127.135771615866,128.665590840232,129.317937789556,120.932869995981,123.518386129533,123.616611679038,119.392687344824,117.030661098249,109.96819866468,102.987690656086,91.3348433863699,84.8850529167751,82.2394997920274,82.7039526894623,83.4442678276975,83.6959901153276,84.5952161777469,86.9557055465455,100.422895379675,100.29660592673,104.146386528071,105.549553831725,107.111093861312,94.601777337254,90.0677323236305,93.4905884960056,97.0571042082989,94.1415706368829,106.294511053259,112.363333604471
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8194705369895,22.9076148972472,54.3452232318303,46.7501023628602,38.1943733048107,33.0112102542288,28.1802429923116,37.3121923345496,41.206498762143,42.1717733463138,48.6306527348873,42.6926843453458,38.029706955533,38.0630471105827,39.937679382813,44.1345932242452,46.6223415057849,52.3607560775804,50.896901938268,39.0196384912676,47.5804937141076,49.397799264644
Madagascar,14.6047492084316,13.7550292349884,12.7804480350883,13.3027974650906,13.211704451795,17.2947153374012,17.5142527976145,17.750338680227,18.1092695799875,19.1603377303922,14.4446683954346,14.2629743662547,14.2478558245577,15.5261612727797,15.8595183884694,15.1637418263356,16.4449912514711,17.1510382949057,14.5753818089028,13.3427556706741,11.5052727594739,11.2246900365712,10.57055149783,13.2829723598068,12.2416548068307,12.148557906053,16.5645503402363,16.2992425408551,18.4488139519388,16.6021488197262,18.1096252174041,16.3837789980967,15.3175194451687,22.032269382284,24.1344846731711,20.4924335265791,21.8661423030318,21.5205756974896,24.465418174621,30.6793205294443,29.0785744468947,16.0083794769497,23.0857444094037,32.6364367838872,28.2164001087658,29.7320923586866,30.3236547424754,26.5925023695759,28.8257336483132,23.7637592216912,26.0611780508625
Malawi,20.6094627105052,21.4067278287462,21.8635363169479,19.4823867721064,19.4630872483221,21.505376344086,24.0532241555783,23.8374938815467,23.4762979683973,24.2461792647666,23.4519104084321,23.2872503840246,27.6373626373626,28.0173347778982,29.1296960543704,30.4411764705882,30,23.1922058921561,23.1925977352957,24.8432983832598,25.6655543915691,22.495183044316,20.7515666862215,28.3706230618015,24.1914755381393,22.9107089441839,25.45252856206,23.322205522861,18.7799093026558,23.7820735868428,23.2715835364303,23.2062253300636,16.1303020466296,29.6328221119014,30.3684814012945,22.8257528446847,21.3565094244507,32.7701620512221,28.022280578643,25.6036524884536,27.9912263468456,20.8026636396552,26.696715166718,24.9598593485566,24.0468615850804,22.6195587150198,28.3287711979707,28.1887742572124,24.6489340987219,29.3760434490054,29.5856069636456
Malaysia,46.0959604104317,44.1722966809024,42.5635959006613,40.8408434216379,41.8272954841315,40.2089220638602,37.3379650331952,39.4427111938012,42.8997670864835,41.4078885309142,38.2210863191539,34.0166953222172,39.1847753708254,45.6317558834185,43.0227614420463,48.9469758411449,47.3615263823546,48.3233925498269,55.1786661773151,56.6865427466883,51.5582381249493,50.1302527398068,50.415509438576,53.4596433760594,54.0887476108976,55.4569404148364,62.8944973217509,66.41550121124,71.3768481199144,74.5416959182403,77.8261272070757,75.9838615168004,78.9207424632204,89.1512290262845,94.0895951596824,91.5757931372171,93.2894469237942,115.743733434831,121.311391108154,119.809708726968,110.402491356547,108.305302795051,106.943446148115,115.373337721075,112.899184476164,112.184916896648,106.169373323213,99.4998363525848,91.4166636272582,93.7459121142294,91.5574834749764
Maldives,,,,,,,,,,,,,,,,,,,,153.543356207112,166.363501922508,159.796915915042,132.630610743194,77.1664507772021,71.6448825875056,68.0751034890597,78.7150863723608,75.8553093758444,79.1936500525272,85.4529964461321,76.9300868983957,78.0265927430336,67.1285868372633,77.7358724198124,92.6577372713528,91.7128843614412,91.2225454065076,92.430916502912,90.5059126674976,89.4728482660403,57.861997633859,59.791658463425,61.4711843596555,64.0262660410523,48.8210219070035,59.6257032703558,105.105358889007,95.3409133148033,82.6608737629737,96.7188629245965,113.508573261046
Mali,,,,,,,11.3616406724722,10.222569933348,11.2036320187016,12.4695556201777,13.4159109947108,10.0292727688688,10.1879193510612,12.7237253533743,9.66118502576473,11.0057079984836,12.7556950857402,11.5979848232296,11.9924211790845,14.6970037291662,13.4278791851919,14.3287822535874,16.1370759731539,17.7959865432745,16.7592638346093,15.3096876667745,16.5561591026682,16.3690754230999,16.6594859296607,17.1494234184221,18.2364304999088,15.4339751198332,15.838322570553,23.0062303533165,21.111796650465,20.0338101283494,26.117921160286,24.7863645361582,26.4509107705749,26.7822013229991,33.2969589961509,31.87500921738,26.4213304072902,25.3752064902642,25.6219120797517,32.1126948345323,26.1751824817518,,,,
Malta,,,,,,,,,,44.1808667047752,45.5107660968338,46.5257207296502,57.8978287045698,74.6413851916185,73.6920013187893,75.4141813617215,76.9238285954786,73.5535236036418,79.3891795445995,80.933568824326,72.5355245226888,61.5988544687321,59.8059958508262,62.4184564978311,64.5000328974091,64.3349146964269,69.5802360380976,70.4050047422374,72.1342275522813,75.8336232009723,77.37196437264,81.7595782675496,84.8121835708565,85.9618428797892,83.0833671125524,77.4213428478754,76.275752288242,78.8756091900673,82.8844459131967,90.557068581332,80.4548442864448,83.1220906116053,78.8316624802721,78.4126773930124,76.8143319770821,86.4865397501084,89.2192627082913,87.7786910510634,78.7763922954222,88.1840452974674,97.9837322071015
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,14.3401977124085,14.5345306818617,25.198293200555,43.5388147771147,42.1949949411149,42.9981578273469,41.6073947842298,38.0021634239303,38.8404516879989,40.8123924820243,40.2203370607013,48.2248667142529,46.8333013240123,48.2959199334713,38.4403707185516,37.944843243152,32.7800737727887,33.3667173006526,33.1855607029144,36.823152584545,45.0664584840471,40.0644792018453,45.7371871534259,45.5872462156613,59.9089387817105,56.153248911193,49.0893017714152,50.2684701087873,49.8323967383244,45.6419062429937,34.7431745601876,31.4940063056902,34.6632763999025,48.5402224797555,58.0273372895353,55.7822182126839,44.8348977911896,30.8558662839152,27.2388338437927,29.9614344320638,29.3975728990842,28.3383069647511,21.4496454935727,25.649411459609,30.7241669425135,47.8077790035226,43.1756149133484,58.962636774255,50.2415318507856,62.0100620303402,74.1066375403706
Mauritius,,,,,,,,,,,,,,,,50.552925911744,48.6014045963593,43.0438389773868,42.4916434799231,50.9530080900341,44.5381312515683,46.9583713567774,46.4475061342219,48.4663024332296,53.3023657782549,60.2494214690954,64.2951579105245,64.453969331404,63.934682919166,64.9568965517241,62.3052889289004,59.304597454218,58.2425393586276,56.7227600650354,58.6575876967506,63.5855698279248,61.4621055280534,65.6837384338771,63.9351969089756,61.3856956520761,68.456763791869,61.8190109787076,56.6780377719067,54.0208425539762,59.8548729376939,61.6146611756243,57.8638200077702,52.9331863057615,48.9609525913396,52.5258933697513,54.1301165759286
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,8.41607788798779,8.55725055518891,8.33176573746587,7.63682116211611,7.63784570201487,7.46572931909566,6.86867907725632,7.03705832624594,7.53817961535986,7.7498799157452,7.64023664774872,8.0640805770581,8.41333506443054,8.41140691611978,6.89414242882459,8.49002854405897,10.3176255055596,10.4691888360129,11.190915369598,10.7052984347257,10.4087556747245,15.3310989794756,19.0024048692917,17.3811366778736,15.4148915722455,17.3407412317212,19.498267776785,19.927874027508,18.9969416386761,18.6007926706848,16.364870655779,15.2377932478298,15.2476138613567,16.7887148679299,30.362373651423,32.0764996448915,30.2668882560735,30.6943599268955,30.7375086943186,30.9390596569401,27.5590038002654,26.8225779121886,25.3548977755837,26.6053181522002,27.101428245235,27.9684204906211,27.927586533994,28.0478963250101,27.7217093585669,30.3095470498878,31.6682363634999
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,3.38028169014084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2246334538949,32.4324324324324,38.9351112265568,21.1230824722729,38.24205552579,49.3458259247252,55.2671309336726,54.7870910490511,48.5282925000852,52.086418523085,49.7780140808882,49.8535486367451,52.7404271209723,53.4812039559262,50.7067987018016,51.1443043743725,45.255965747432,47.4524622329459,40.8190437790426,36.8721225187512,39.2252153752231,45.017592712291
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,23.8708834251138,26.2587576593998,26.6081706390782,29.1796126263115,26.7297489754464,30.1782083675952,30.8032969966036,28.4489886154461,22.4867754396256,18.2747015012478,54.0684599831465,28.9329932534208,59.3321899310375,44.6306935058313,40.5413721220769,35.5243256359489,52.6663450844416,47.8435145131478,50.158440616333,53.9967514658612,50.3183409920048,50.7266159784408,52.3520495329451,60.7877749189501,58.7693837934602,59.443265077556,59.6144484321482,54.0170359170312,50.2779993278591,54.6998951773665,62.3417284683542
