Exports of goods and services (% of GDP),1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9425548226018,30.2299776376636,28.7592973222592,26.3412968502538,,,
Bhutan,,,,,,,,,,,,,,,,,,,,13.6452113527542,15.4399328300228,13.6977377719471,12.0591863413845,12.9308041242964,14.9929788959475,17.6309046264353,23.5471622786798,28.0727232428806,28.0478564226641,26.8303708865803,32.1582194303744,31.9864823435616,31.568412316239,29.5287425843095,37.7689359256935,35.4881290123409,35.9047155495057,33.1000113909728,31.1144920214525,28.9843982650684,28.9403741278107,24.9200891039462,26.1933571604732,31.2926575928115,38.2498414501552,54.4194469731339,54.9704162586971,46.5858382614569,45.7051872228056,39.8428133329666,36.6168213580161
Bolivia,,,,,,,,,,24.5945051307514,21.39234670355,21.1124401913876,27.7133699996043,35.2924380145624,25.9383183008438,27.6756479906345,26.7741286136789,22.595143746177,24.1747034696819,24.5275198434101,23.2660239016291,29.0643469382316,28.3167800420608,23.6548638481902,19.0499308159098,21.3296182705376,19.7409529259366,18.7674469150917,22.4982160481916,22.7769813536609,21.4793466403133,20.0457611805836,19.0807653010098,21.663311741712,22.5514219688067,22.5818700896758,21.1106028675628,19.6986849544247,16.8808993471582,18.2747449722166,19.972149331329,21.6344550980958,25.600734406843,31.1383904945965,35.548142937114,41.7717142421647,41.7956567499243,44.906556002234,35.7226248347827,41.187456069084,44.1183835433994
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4482894674137,20.4117385979467,23.6177056522631,27.8336346462356,27.303197280403,27.6439663012723,28.6903396193221,28.3925252632468,24.3474146836738,30.2893545794644,32.2433275196395,32.1445220063803,36.6577461304839,43.3314562040744,41.0645046142535,31.6692526275913,35.7764969979412,42.2767038250202
Botswana,27.2162720647421,27.9259975225314,28.9944859094139,28.8109750786406,31.7073170731707,29.2682926829268,24.6138479648985,23.0526315789474,22.7722772277228,24.6555474981871,33.1497797356828,37.3721479150275,38.8315137208616,40.9232988699207,43.5941366837997,50.386398763524,50.9007232084155,52.0605378873095,54.1230170607602,53.0592444363592,49.7050639955481,54.5619826802545,62.0834467472878,60.8112721517023,66.2910488224616,68.3308494783905,75.129565085619,70.5219405269035,59.2245978546885,55.0554070628939,53.0295141611517,48.1795630951428,47.0953533589937,49.2782082090304,50.9453229028655,54.1914171423766,56.2485746762855,48.8810901112256,51.6012693818733,53.2648740549585,44.2698222632816,46.5692614394933,45.3533861547119,44.2261801222717,51.2499205004108,47.0143271299753,48.1782709214107,42.1205497672269,32.463902951363,32.9870884020787,39.1419162525656
Brazil,7.27941023929184,3.86876139023375,9.0364550120487,6.38540910937107,7.73576149377531,6.82473529968707,5.76897098161851,6.00052603364264,6.62040384416657,7.02943630339024,6.41330668733134,7.25917566678073,8.27167779764211,8.01311939329894,7.538572812955,7.03571355967836,7.2523684752455,6.67557886866009,7.12390495074747,9.05272982480662,9.42035430822064,7.60968270148238,11.4218215925278,13.5475849185137,12.2479596662622,8.81658867805801,9.45994321769498,10.8882167136928,8.92960968014427,8.19999001540814,8.67697319998325,10.8682498027901,10.5032702502296,8.45692494895959,7.25680622299441,6.56674151179255,6.82065746895853,6.93277482548332,9.41108864890953,9.97819381728589,12.1814464848526,14.0966232739802,14.9868701866175,16.4250921581726,15.1283508131369,14.3684508392759,13.3643803147509,13.6631968033813,10.9789949015313,10.8715851234123,11.8891676713698
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,,,,,,,,,,,,,,90.054277195933,90.0591972278372,93.6549017377208,94.6342386675499,95.012683457148,95.0615866559512,93.3615069739236,93.143259797279,89.3430496959071,88.2704119942392,,,,,,61.8113183933093,61.8084939664629,66.677091477717,57.8723404255319,54.7633403678022,51.081210956271,59.7168405365127,59.93345348676,57.1854347544382,50.4719764011799,55.8163396178017,67.3543319832397,69.5253062286844,67.1218302628374,69.2892518438909,68.7990473478286,70.1684472917253,71.7246979556453,67.8531183634551,78.2992366861295,72.7827100708457,81.4387750050616,81.2772119421552
Bulgaria,,,,,,,,,,,,,,,,,,,,35.7078054915398,35.6384351684104,34.2829077660939,37.1482444938868,40.1311613899026,42.7951276207341,40.0336383457509,40.7853001993323,45.565665772624,46.4205950372409,33.1191934327396,43.4782608695652,47.1115537848606,38.2067581130813,45.0475646879756,51.9210308681775,59.390219380393,58.682295216383,59.0944152988861,55.9830051143525,50.4624131253134,48.7218067694777,47.4451597161415,48.5270672335197,51.9308431407266,40.5369645084901,61.2093218542703,59.4665720777263,58.2174023415907,47.507601182115,57.4103877306489,66.5128087140762
Burkina Faso,5.42888600314856,5.53198371610123,5.5794920855801,2.79883615333045,4.6525965398018,5.05173086031272,4.92850619187899,6.20473811682538,5.81721372769604,5.4552402031882,5.51146750206319,6.39972716564168,6.31179755788633,8.32076318342778,7.34825435505412,8.20525245998971,7.96026685526729,7.46841922841988,8.24613440072144,8.95052101237668,9.2764106116088,8.19571613065157,7.88414939188543,10.960913626628,9.9214646895303,8.9905631392276,11.3588168035654,10.9987001855184,8.74886259611235,10.9666914128533,10.4475484448188,8.84648036705926,8.9515432794222,14.2016211448235,14.1405565369163,10.5636052074314,10.8125309989066,12.8081030226629,9.51836806750876,9.07683478071783,9.24340509376507,8.81580353189248,8.79434175925954,10.7393339188113,9.92090930306569,11.3834993243721,,,,,
Burundi,12.9310346567012,13.1147537052252,7.51879705450522,14.09395952728,10.3479635040849,10.7761598187395,10.8005897057881,10.2956955708047,9.65871537583368,10.68877683141,8.4357498971691,11.7344434462895,11.0161732039696,9.75339745122198,8.27564572417933,13.7264838813102,17.5956102292697,11.7076927839069,14.1626446403038,8.80938056475716,9.14335050943539,10.2119749972585,9.04558008305351,11.5040069052475,11.0266191811457,11.7232284242699,9.74490291068925,12.5907700738708,9.74574397523744,7.87299229412311,9.91737771764651,8.7491805276447,9.38196086359137,10.2717650676843,12.9263428483788,5.82032103382744,9.83558093815636,7.99978941729135,7.57575757575758,6.58483042029722,5.52260761529921,4.95824486200585,6.596136027216,7.07971504312181,8.20249917245945,7.53154630320426,7.03342172685831,6.51272290580988,5.39942507632583,6.13476309171799,5.48555275899836
Cambodia,12.8888890355358,13.8528136992935,17.2549017875586,14.963503929245,11.5131578947368,7.8125,8.9020772189594,8.57908876625291,6.95443649353323,5.76441099058423,,,,,,,,,,,,,,,,,,,,,,,16.0570736261858,25.7919593881333,31.1841815312274,25.3640067396113,33.6169355751117,31.2381457937741,40.5441861783959,49.8462352299422,52.5965254009617,55.4221375882157,56.5204704905116,63.6058949114186,64.0847072520606,68.59402347004,65.3259680508326,65.5432507029788,49.2207635019562,54.0827827919211,54.0807559141427
Cameroon,,,,,23.7593924660374,20.9947348675521,20.6252726520394,22.1235516769309,23.3834286119078,26.2099316704997,23.0181577733559,20.3918695802967,20.693725910147,25.4380898076255,22.6849591280922,22.6425968649229,25.0599528672745,23.6551978051174,21.0785468010022,27.8847481892387,21.8670533400971,33.2143378589664,30.3976032746382,33.4785941985374,33.4487710584622,23.281370600375,16.6942564334863,16.0329748684941,20.7070366383773,20.1829144006902,19.9988804610672,20.5470222497982,16.179660762074,21.1206552137435,23.5752828239118,23.3814444810733,21.4281958247884,21.4304440213042,21.5024122412533,29.1682091186755,27.4961475888923,25.0043037370376,23.9569829506126,22.7102881070743,24.4651528344153,29.3047737459388,31.0195608578315,31.0659198198378,23.5184035164959,25.5659718053812,30.6721884623888
Canada,17.7529151284194,17.7825630998187,18.2530864927232,19.1876247432112,18.5361076568744,19.3370650966339,20.2686094918947,21.1972331870564,21.2454616315563,22.3156167178611,21.4469312905749,21.6716857878504,23.1799993796334,24.513431750607,22.4339221637936,22.1471644149324,23.1833753444991,25.047676997023,26.8809666031183,28.0823181398899,26.917283221119,25.690058679668,25.4590579164094,28.6397142234342,28.2839284023108,27.8529912728933,26.8205149307003,26.7237976558244,25.6847815510363,25.8137342426547,25.1195344975758,27.0934216537232,30.2074853132082,34.0039150417773,37.3235804379425,38.3871214438666,39.4914430524292,41.4441737625045,43.1840690687787,45.5785327013302,43.5417057744791,41.5632684392903,38.1208811589424,38.4210779096232,37.8088503433794,36.133011124479,34.9582796424399,35.117168448901,28.746325176506,29.430607260336,31.1662952597618
Cape Verde,,,,,,,,,,,,,,,,,,,,17.0747682227441,21.4691376893988,22.9274304386124,24.6279458192888,22.7730558410552,22.6384786690295,17.6098622736723,18.0990410218307,16.7076622209616,19.2254452012512,17.1319694717178,16.5640735306342,17.2830075578906,13.2608310886052,15.0462995412064,17.1369526776256,20.1991575382318,27.4417262887216,22.7961528955325,20.9759456898529,27.0072185521283,29.80941288477,32.5449566462066,31.3643511539847,32.0041731038201,37.7773604608664,45.1322052433449,42.8253541285943,45.3363987003147,35.6088886857108,38.5669968639199,42.2391471763958
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,26.4900657760625,24.5901650352055,25.2365924485267,28.4482694696799,27.1002682926829,28.3505154639175,26.302729528536,34.3122977686625,27.3346641223215,31.9384978868724,29.799232841043,24.9348007750752,28.6180418947508,27.7368238969256,21.1303466246276,22.1868662250526,25.2043976723287,23.4203176379106,22.4325673602529,25.2215452309919,24.3834500211127,22.17775213345,24.1489993174403,23.3939942766037,20.5433089333282,16.5600492628616,16.2338321640801,15.2689235296165,16.8449516955183,14.7643415421448,12.5383939767977,11.5034077221969,13.9854981948595,23.9907878839068,20.3878654732143,17.3182316404823,19.5159798048947,17.0085788280997,11.1478510736907,20.7263743717667,17.155947109219,16.2981374826161,13.5011490189386,13.7509295356347,12.7276133852287,14.1916553470469,14.1112405890269,11.0076956946201,9.52550892901607,10.591170826776,11.8540608730666
Chad,13.9110330357,14.0303830310054,12.9482750294039,13.7276219989249,13.5002549839824,13.9126155001384,14.3618954226484,14.9410123585451,13.2067875851402,16.2598369679787,15.9123848458806,14.5650982981718,15.7287774463273,18.3910807352669,14.4026671496759,16.0839281928761,15.3540414960021,16.4227412351537,17.7786010283389,16.9449067280292,15.1004602054524,6.56197148254486,16.4188766070738,18.0178072551548,11.9066351030276,13.3941044282659,15.4492482731901,15.019143296625,13.7814245062586,13.4802082460729,11.9516330555294,11.0907463868255,13.3234461238539,16.1056019998152,21.9290175470543,17.5435092466378,18.5438360844696,18.4916260621493,18.3181207712995,16.8900964318922,14.6657875450266,12.6899405967646,24.6329669069481,51.0088580567156,61.0023547903752,63.1523991671007,54.8,52.8,40.6395933014354,39.0014657210402,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,12.0414430344918,11.9218204483575,12.2646305893266,12.6098896248944,13.6054421768707,14.809329877823,14.2694063926941,13.9773895169579,16.45623492694,14.6129541864139,11.0285670521559,9.8218744797736,13.6538254179055,20.3823261228884,25.4376862460892,25.1249598251877,20.620942660212,20.5826736609049,23.2768351584409,22.8199050211905,16.4176244707807,19.3685855378853,24.0096036950674,24.2339127737697,28.1475068868726,29.0895935287957,30.1273252453213,34.2477974316206,35.388879489576,33.9860347564937,32.396379321839,29.8119267727946,26.6231580338756,28.2378893917217,29.3027858800646,27.2767748827371,27.0837646081939,26.299910772921,29.5980143754701,29.2871513812358,30.8719815128678,31.5433054140912,33.9222527056063,37.8551541055572,38.3823695451104,42.5048929149485,43.8809156735339,41.5066849741558,37.0344374307129,38.0615598278551,38.0675391266377
