Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5484311050477,3.09131736526946,-0.691271965311923,21.786200837779,15.3139741014537,23.7791733058394,28.998331284033,34.2350899856884,33.36782324116,26.4958623393412,20.6740001271698,20.6753706072692,34.5761772487645,53.1695235429931,57.9904575454556,41.5348372928728,29.859337050703,21.5250083743234,18.6936308461975,18.9486398045026,17.1378266108956,
Bahamas,,,,,,,,,,,,,,,,,,12.5105189340813,11.3407015857761,12.8268110011266,18.2880256011509,18.8433232407896,21.4661340132318,20.3312557710065,16.3490272288624,19.1709405956868,18.4226493789787,18.7951372165724,,31.4996734160679,29.414718888187,29.3568958202085,27.8613702155034,23.3395860284605,25.8606934642528,27.6550014581511,30.4937655860349,27.4681982028651,29.5814495274515,26.3833453045961,27.9002053242707,24.8867094463092,21.9232664117657,22.133110347391,21.1887861617304,25.2794430266868,30.3328517618536,28.1750345835002,24.5589124948651,23.6312286835001,21.7133931307423,
Bahrain,,,,,,,,,,,,,,,,,,,,,46.1272870011857,41.613634380216,36.2780857893201,43.8550202221589,42.5808635768387,35.6492599659338,26.6271681206495,25.4586809074452,20.1996987618636,24.6368825026638,16.4298289738431,28.5994128681115,29.4167039856695,18.3040968576337,19.6331321025507,14.6085300240729,14.405265825265,17.4464869623161,21.4227342112049,7.90520215260068,10.2939701063695,12.1930766134443,20.1810436634718,20.9085948158254,24.8692152917505,24.4166057420617,24.3940080183853,26.9936795427387,33.2272870777376,,,
Bangladesh,6.89426578728238,7.72941154016879,11.9904084641897,9.85562861495438,11.9751661297608,11.4762751141124,9.01689825331482,10.7087041279329,14.1548013650128,12.5083637629513,11.3446569130503,8.22782731493363,4.69769645962622,8.71200687265202,7.37485723587183,6.14790581611021,9.91136205452028,11.5232177935539,11.5467985367441,11.2038721114243,14.439391303146,17.621439392058,17.8197047603251,16.9717468185781,15.9199815429973,16.3181740529305,16.7013597474913,16.0162482084234,16.3130727852097,16.7235947082747,17.0541221366775,16.8959684870776,17.3050348537097,17.9468266129336,18.4025565927094,19.1197933485111,19.9932217825024,20.7228661763866,21.6324170934466,22.1930558027393,23.0239723644002,23.0870168142794,23.1474994601045,23.4053086016007,24.0231117768973,24.527214215,24.6506188302493,24.4641801535694,24.2079108515884,24.3722299718671,24.4137501740901,
Barbados,24.1655540720961,21.4017521902378,18.6522262334537,19.6256684491979,19.5371367061356,17.6500508646999,20.6701274185937,20.5203524968527,23.7072104879825,24.0284974093264,26.1157024793388,23.0826507818317,22.256913470116,22.2082797801309,22.8150468744364,19.2269817823732,27.0093885962904,24.0136876006441,22.8776978417266,23.5350849326846,24.5175092852887,27.5648420853986,22.6381909547739,19.9403634986747,16.2410986967434,15.4280258543106,16.0128488096581,16.0174343488782,17.5303293753227,19.1503034747831,18.8419281454228,17.1037893868561,9.47434705897331,12.7234173930017,13.3874587272421,15.1338490485253,14.2570577484709,16.6844307360225,18.4847972616538,19.8420851260431,18.5024525516862,19.611692540132,20.7838869592609,20.6936351206449,23.6143810153546,23.9904289739993,21.6647626658402,21.9872410080906,22.4580002572186,22.4478983881628,14.6283002798394,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5127020785219,29.0470723306544,31.7912382996214,41.0303251735477,32.9363071246094,24.7501981003504,23.5190200959971,26.8368108287733,26.71201808246,23.7067712751718,25.3986730605006,23.7608599445648,22.1768515932559,24.9543276593883,28.6673014374357,28.4604661956657,32.1841371566982,34.0919031794272,37.6416510261128,37.2742869366177,40.6293798124244,
Belgium,,,,,,,,,,,28.0543590525377,27.1056659739118,25.2096378173365,26.1911207468,28.7533619882765,25.278643482285,25.6045368963628,25.2805797639561,25.0784667780035,24.6382701457017,25.205437989671,21.4257203626724,20.5010255866055,17.8056515132792,18.8109985762407,18.0127356910124,17.6219891050967,18.6367477292408,20.74988257565,22.3301547483766,23.1089600866138,21.6794106070707,21.4442517632004,20.8171931757189,20.8939613204799,20.6832480949225,20.5432003825689,20.9856083436218,21.2061035031144,21.4157981592734,22.5760020590594,21.1534427418303,19.1591380524727,19.3955938563549,20.8666489753756,21.9092062997073,22.4438887093383,22.8777773275202,24.0058868038347,19.8793410999372,20.1939175032275,
Belize,,,,,,,,,,,,,,,,,,,,,24.1078305519897,26.049766718507,20.7531380753138,20.2116402116402,23.5419630156472,21.6112837676309,20.3642747421549,21.9309334626833,25.3731343283582,30.2905122273215,27.1879928217114,28.8045940692426,26.0888119345396,28.3630870659666,20.5556244754183,21.7111139069085,20.3168153905359,19.9449834924005,18.7970069656911,24.597487998536,28.6623852661064,25.1429481683279,22.596139860015,18.9629237710036,17.6674810469755,18.5058362566824,18.5746994002031,19.2881568021713,25.4581585338927,,,
Benin,11.4249717090287,10.9628407837645,11.1092112742202,11.6168292564103,9.73416576693185,8.77749964514355,8.77829511044949,11.8251629979996,12.3746562671182,12.6631880652326,11.5923801202917,10.28564359763,13.3636368389254,13.0759687231954,18.2311158889796,19.3020911618203,16.6521857965342,17.7509342433185,16.0640103976376,19.0221796951439,15.1565679424954,15.6767522281557,27.6044169313499,17.3215150811699,12.780317818914,8.93997374235719,13.4644446323511,12.9269404974705,15.6332306200165,11.817144144924,14.2103507218495,14.4961143163028,13.7573075828553,15.3689526153711,15.7670915716102,19.5982616616742,17.1158436430075,18.3940592303766,16.9978000653228,17.5100163209118,18.9296392213406,19.1841317279166,17.672612050902,18.8258619855892,18.2443176503601,19.5887685164714,18.2,21.4,20.6923912317049,25.0494991066871,25.7837635455984,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8019081018415,11.5064084362679,10.0402955863975,,,,
