Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cote d'Ivoire,16.7249347063164,19.8409834182638,13.8895677977343,17.7828302287156,21.844553219938,21.8722278402399,21.8203464408592,19.7822819221384,17.812105120816,19.5252903866059,22.4956529253931,21.8019049009869,20.8753481643979,23.1801100643767,22.0162385616843,22.4445788846534,22.9892273882576,27.3323803533698,29.76217101043,27.9654493281591,26.5361179605345,25.9404733807825,23.1882903669194,18.4127717789878,11.6507777026679,12.9513847396368,12.0634100488528,12.3172446608973,12.6503527483683,8.90395594942862,6.68880333772896,7.35800116067883,6.92388460265218,9.79307108367129,13.7157180667119,15.5984458147811,12.1120705740235,14.4243621323151,13.338902812587,13.1173198809986,10.786468375423,11.1615632398028,10.0661129762728,10.1162177960395,10.8015893838458,9.7356195914677,9.33357744872385,8.68518159725271,10.1411291770363,11.3584360468488,13.8532524875363,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.400906809627,10.4713940553307,13.4154194932585,15.4541352760413,17.3732143207378,15.7010679238757,19.1160273968919,24.7836877504104,20.4397493193115,20.3788696697989,19.0614548085803,21.495721098819,25.2592221135383,27.2800008740316,26.7324191894478,27.300068364995,29.4281979053432,29.4229835135317,30.7027672718249,27.0546604233153,23.3842863865048,
Cuba,,,,,,,,,,,25.926941285635,25.936973370269,25.9345459316968,25.9162430214458,25.8920089914613,25.9549351874141,25.9871337215283,25.9224087210465,25.8247284687543,25.7708388903632,26.269566096885,26.1481264288158,25.5987837227819,25.3363272039739,25.5013909971564,28.7632021584665,25.5409280519036,22.8520702213108,24.0240445917143,26.3267099694293,24.8024922654163,13.9954825506115,6.54495927810647,6.39438205799614,5.24213081529253,7.01427513331519,15.8969992765007,14.952968911386,13.2029871855645,11.8560353671564,12.5050711266408,11.4643992260907,9.19637753643898,8.50354442014958,8.80171086936036,10.7740325765286,11.7287707542931,10.1836921003012,14.844703336173,10.3167058989765,11.7817004451863,
Cyprus,,,,,,,,,,,,,,,,22.5291828793774,26.564839772387,34.8853698889152,37.2161895360316,38.7265798666241,37.8140191897297,33.8127853881278,31.7201688116356,30.1134855602783,33.5950335351562,30.3400337729307,25.9229188765903,25.5308401494066,27.4562849448363,30.8919300963156,27.0454266150175,25.8421505215537,28.6989600696123,24.0877026903228,25.5156545320076,21.9167869397742,21.6060496939143,19.3629965719336,19.1895282026382,17.0302861193647,18.3253088073855,16.4351100121861,18.759404989955,17.3981259533668,20.1733503830101,19.9214124437913,20.7576448029544,22.4321430820581,24.2205125238619,17.3433258586097,18.4425994846837,
Czech Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.151708719259,23.0432475457681,26.6296646197449,26.8482490272374,29.7526006439046,32.5725764768616,33.6850853805172,30.4709750018497,28.394732136462,27.0941374867419,29.4685334937595,29.5060313389853,28.5646753491271,27.1723752575559,27.5109938246999,25.6783658225481,26.7890486781619,27.0142216288687,25.3088240317008,21.746231588876,22.5925300803369,
Denmark,,,,,,,25.4218963074312,24.9528733799561,24.5451301938164,26.2719772645669,26.1771773461171,25.2141787028552,26.1236241337138,27.0388515563794,26.0135600558934,21.8864142832654,24.8998189544811,23.9159861568099,22.6654841817153,22.7978178120405,19.897677378301,16.651785299069,17.8167660378588,17.8446626328893,20.1068380715611,21.5567274185093,23.3623313675347,21.3921772069857,20.2388308779829,20.6057058053642,19.9371199360493,18.6677615589864,17.8726994964676,16.2430947709444,17.6258643014704,19.5069369179389,19.036772736113,20.8103649387327,21.537020406234,19.836123259438,21.1817494008716,20.3637885581955,20.4075507544417,19.6306960360223,20.3595738585985,20.8254678671574,22.7139984518824,23.3681597674462,22.36600135071,17.5907866406769,17.1633854767452,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1478475696682,14.1478497142322,19.2076364449571,9.16251542378898,6.11213787499928,8.4382065659763,9.07170112193177,9.57172920211337,12.1897846956438,8.61694903156938,8.79096986381913,7.86990345087909,10.0497073908094,14.4130640866067,21.5121436114044,18.9718074178973,29.5583446156098,37.4874745343181,,,,
Dominica,,,,,,,,,,,,,,,,,,21.9042769857434,22.9747458183011,35.1839464882943,50.8616907940089,33.9336651938028,30.893389534286,28.0676552363299,36.8399356939692,28.4844841836351,22.309980171844,23.2543823650114,31.0611342890438,41.2136855921881,40.7931933714319,31.6043351533314,29.5470777928474,26.769908207489,26.9106458879557,32.3590693263188,27.4592731829574,31.0573981706123,26.9722988743845,27.7009268225204,23.1447755519984,18.8998358879654,15.8480806373403,18.9820188970492,20.8625084959213,23.3547123521139,23.2338266715259,23.458593490218,25.3927748296331,24.1226939969051,22.5596126056155,
Dominican Rep.,12.6115455510941,8.8671435273766,11.9038956205857,16.0182844922836,18.320985125864,9.77367448796035,15.8552693288255,15.529570931581,15.3739222574687,18.1308415930003,19.1396248653992,17.8528564570331,19.7051278773029,22.096644398549,23.3490566037736,24.5103216867194,22.5413772947938,21.7893650702408,23.6720851206434,25.3546228185437,25.1244153810945,23.6135972112028,19.9648419498996,21.0623967181644,21.3292798594726,17.5960720634672,19.7759386911883,24.2291414726209,24.5506133767644,28.4756932356914,25.1407844120597,16.7284040639736,18.0805937390022,18.4521325161786,19.1829153638448,17.7146171583787,17.9461180251059,18.6921765924907,23.6270683764088,22.4474050990661,23.2731027069401,21.055354857,21.1671605651386,14.9743304450938,14.9136756619754,16.509555863616,18.4050554970538,18.9225810712615,18.3086417215278,14.8239423489658,16.4749010816413,
Ecuador,12.7285055754946,12.8288700655177,11.6474336541977,11.7604663385061,11.6404045857273,11.2368639605168,11.5528887767328,13.1596978463189,11.4249037227214,14.2117376294591,15.531660692951,20.3211851139247,16.3127907591825,16.6216741472376,16.3270499006973,20.1548722929473,20.9887401430537,19.9942216930454,23.1382642982831,22.1619365609349,22.2278266983959,20.4324178694158,21.6105544989613,16.9990164728212,16.3430275777294,15.7667936651647,18.6996601671569,22.6717975315014,22.1904561822229,24.6770980681853,20.9158538276787,18.9808694440121,18.2386794456446,20.4303931987248,21.8704569753512,21.5587241393857,19.7022422074797,21.4598913995094,25.2688071665472,14.7275692626322,20.1119986334671,24.271533094245,26.8021970188517,20.9791675371221,23.2953257867165,23.5904022869775,23.7804528468031,24.291220887472,27.8882099796704,23.3406509621023,26.1764645819122,
Egypt,13.3037649667406,15.1725926492566,16.2971536067889,18.0109386266517,17.9268766006156,17.691550917316,16.8121922046974,14.4238774670277,12.6285996848146,12.9574083719831,13.9484697881245,13.2269907058518,12.3395969217773,13.1466256632625,22.4706163434797,33.365273643303,28.3930426910726,29.1706600191755,31.6590080111401,32.8453348197788,27.5140915605072,29.5092391171322,30.0755481462304,28.7298299117809,27.4838609713817,26.6751171703033,23.7068516266852,26.0827751566345,34.9193693921807,31.7745127595581,28.8128392520544,21.1696036249564,19.4823867721064,19.8453608247423,20.6285714285714,20.1470588235294,18.1342632955536,17.562993606619,21.5031315240084,21.6189856957087,19.5530726256983,18.2603847226094,18.2633938872918,16.8862275552644,16.9379764200263,17.9758589355888,18.7307754961557,20.8512352309345,22.3897264098269,19.1901746305891,18.8877838554616,
El Salvador,15.8184143222506,13.6615113793537,12.5141627011104,13.0588624903066,17.3678336553929,15.1802403761122,16.5762969873126,14.7715633979472,11.5393751081287,13.1122544617526,13.2471841175335,15.5937006370345,14.1645296870209,18.278885232084,22.625880704993,22.1217324715035,19.6196328381223,23.4155090024512,26.0745033700114,18.0850211183526,13.2737919644151,14.2441514742954,13.2214126125799,12.0551385272311,11.9604511842928,10.8458256884901,13.2511699574542,12.3614532126519,12.7917474527535,15.3275572075701,13.8605910614495,15.4070297798576,18.5280674791234,18.5801973144689,19.6922624617307,20.0445570935879,15.1864038732121,15.1154850466379,17.5534155520367,16.4262226505004,16.9260859716646,16.6711766976136,16.3874268699281,16.9811320754717,16.2023762050347,16.083024254408,16.8290145385349,16.3114464633,15.2008772339135,13.4340060984464,13.2921983341739,
Equatorial Guinea,,,16.5085898353615,17.3569277108434,18.9091144515367,18.6362583335478,18.352385086577,20.4278410619786,20.7998307236564,6.7151175145565,19.8785320468642,20.3909747772508,20.8313516598497,18.0367371958824,16.6335284804301,14.9817112888948,13.168558120755,13.4876125128179,,,,,,,,,,,,,17.3845832461098,50.6986023439313,24.2061201230584,21.9746914706638,74.1036142318424,76.3227492250731,113.577855400879,65.6801861944074,91.5931385396833,,61.3492001026123,71.8888722607679,31.6752949829512,59.6786586420344,43.7341586585803,39.8595281756155,32.4755358189516,35.2768742637237,25.8603214869128,46.6509884532074,29.2100331555427,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81085654182101,16.9950134881059,25.1373961895457,22.5366961317006,27.5892573606133,31.2807273816123,32.2868594493185,45.5141790964355,23.7838557756773,36.6974836206487,29.8443177393432,24.895593995709,18.8862176053916,19.7376913923726,13.2945377689373,11.0118743431535,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5259286502391,32.8876522792067,32.684521955777,30.2243963484777,26.2362315444106,26.8574001103081,26.2078062076309,27.0480455766299,28.2064385914409,28.1352899931325,30.8908615586284,31.0093291391832,25.3079843591368,28.388638111916,27.9114274654585,32.2885773519543,33.1475825112404,33.0663637531632,33.7849682500553,38.6979763268423,39.6406218453462,29.4823720810269,18.6674351585014,19.9744369518269,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,14.5055631916079,14.6908211243583,13.025809992932,17.7689135412395,11.4297471459485,16.9694220171319,16.1337415017916,23.3836444683948,13.5447875188549,12.9353405062934,11.0683552675937,10.7135954651964,16.5298778930047,16.3796750872781,17.9580783224668,16.6046585217229,19.7504153973968,21.1528072892282,21.9143362591005,20.2796783099268,21.4532465050642,23.9265527385714,21.8438173971583,25.4670640393236,22.9942393207149,24.2276820492712,23.4576402160788,19.8693196074877,22.4752514985424,21.4765581962324,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,19.7309417040359,19.6986006458558,15.6762295081967,17.1206225680934,19.8741007194245,19.777397260274,20.5513784461153,19.954128440367,25.9259259259259,24.9215317011927,22.1584984358707,24.8230297310052,23.9571373899732,22.2287847059907,18.9111111111111,20.6258843525726,21.4915897186493,23.1783164298669,22.7570492737112,31.0490495188923,31.8389721901582,34.2832796818784,25.5636403647144,21.1434062745771,18.9210381870932,19.0657045195594,18.2185126907026,16.031941031941,12.8810783572688,13.430018828248,14.2828282828283,15.7149853085211,12.765495374191,15.9785841760857,13.4897470438557,22.6568984806381,16.7001338688086,18.3123284046178,28.1799677977945,22.7851410346901,17.261791187002,16.1295913175384,19.7405219438669,21.9949614524464,19.1314576338599,22.9782072022397,22.4766511162081,21.1464019451868,24.4172092949944,,,
Finland,,,,,,29.6385588697666,28.0833581305469,25.413156279988,25.3778793906032,25.9156261486357,30.7186464937148,30.822706763434,28.3827838711021,29.8120808823437,35.7289122458482,34.8984348984349,28.2012418716081,27.0048589132082,23.5398444113024,26.8005419865893,30.1500435998436,27.3343974461293,27.4491725768322,27.0129704714798,25.9125680985555,25.422693723718,24.3496594226403,25.0634660738159,27.4339217272522,30.4385996132446,28.4753011778405,22.1364281774763,18.7728154404058,16.3167051981791,17.5026016922311,18.1899566955363,17.7774863564374,19.1739616315888,20.3659404446502,19.5583750950368,20.8646317939408,20.4719717420022,19.1456775684669,19.4164817118002,19.9919877057255,21.8466737386377,21.3036527614394,22.8882833787466,22.3816448537728,18.5221252275125,18.6416723699512,
France,,,,,,,,,,,26.4536467148081,24.9319104559215,25.2133831863756,25.8859382341971,26.8145858075543,22.5628075850914,24.2002761470459,23.3557302904523,22.0906439037661,22.578449510471,23.4388351505623,21.042395504978,21.3026571411102,19.2023551673717,18.564278550288,18.510905803623,19.1529204121454,19.5758893778306,20.7028083847319,21.5786694372939,21.6832142373013,20.8674765696242,19.2445169845229,16.816290140353,17.651837834556,17.9146466964448,17.0293158929297,16.8345780589333,18.1576937287067,18.8086615318902,19.891735459919,19.5555945155007,18.5913259961128,18.460372627436,19.216694374128,19.9699554185628,20.8628738005525,21.9641096965179,21.9481737644254,19.1005229111739,19.352747194408,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,31.9553001217206,31.9695432921028,48.110599078341,37.5543140906269,51.7621737960721,62.6730103806228,73.4946460853845,58.0701246015648,35.0148367952522,32.9196400868756,27.5381552753816,36.3506431634112,35.0155606022374,35.1853284840981,32.9649145354068,41.9926691102966,46.3646390090778,26.3611477620431,37.4748271430104,26.3047547734931,21.6771566086635,26.468031766414,22.4251144723224,22.4485241901178,21.8675948704659,23.3031666244344,24.8489415962648,30.761313843363,39.5576567289225,26.168581867224,21.9020564270273,25.7093901062321,24.5118541486964,23.9551011127983,24.393138945914,21.3104118469123,25.8745902968134,25.9014788747568,24.3798870129209,27.035500337539,26.6822384130676,
Gambia,,,,,,,8.17808739708676,9.187747957993,10.5903556851312,10.0411052072264,6.88981184029371,5.59310480349345,7.2266089527027,8.11996875,5.95707748627212,8.54501800720288,11.7514572361238,13.2785816765648,23.1329107142857,29.0896652432894,26.695473869632,25.3339022092081,22.4603305681937,18.8831654678221,18.313404657017,15.0861832005652,16.5992532669571,17.125832906202,16.3559628487686,20.3652584499065,22.3431942300551,21.8944968079869,22.1738283965262,21.0003892773754,18.1178794387618,20.1848577587051,21.567430112567,17.1999998924196,18.3999989418276,17.7999998842723,17.4,17.3998938367343,21.1999419054054,20.3,30.015702891326,26.8158676180355,28.3639674751157,22.9353606719368,24.7316447368421,25.9344108761329,25.9,
Georgia,,,,,,,,,,,,,,,,,,,,,29.1038154392192,25.3658536585366,26.4252696456086,31.4589665653495,32.8113879003559,34.3039772727273,29.8833819241982,28.5513361462728,30.947511929107,28.01393728223,30.7281229124916,28.1984334203655,23.3882857525801,5.99991461800706,2.64656978312066,4.03290395698465,19.5958573384805,17.8373527298988,27.1704379454157,26.4530145833945,26.5815060185476,30.3277558022872,28.5010838105391,31.3207112282138,31.9081839240825,33.4872807241273,30.8581536056389,32.0559051606047,25.9588543794108,13.026026879445,19.5303902205195,
Germany,,,,,,,,,,,30.5052971313566,29.6707522284612,28.5340156592216,27.309518067546,24.676176125012,22.780365822809,23.8427215276144,23.5022373867991,23.7833120168302,25.5846013467452,25.3763286078967,22.9516798376847,21.5944076205979,22.3295979900489,22.1082413746442,21.5610944185799,21.5799179396518,21.0277325243165,21.7102207222214,22.6186473069776,23.1589245499423,24.0394891176854,23.4882310118903,22.1627673993753,22.458758837392,22.3375710035164,21.2778666666667,21.3311722262888,21.847221513497,21.7968203179682,22.2998778998779,20.3458775393691,18.0724134696558,17.8528521536671,17.6308238830441,17.268926452077,18.1347508535373,19.2608606135475,19.3758590023446,16.5403242787955,17.34334625323,
Ghana,24.3846330802853,20.1118520111852,17.1225937183384,18.7238683875659,19.4952273094968,17.8805237315876,12.8556375131718,10.3104431762719,11.1045763502487,11.790873005794,14.150399965282,14.1171767453508,7.10378647959165,9.02547730928284,13.0469300546114,12.7257250886502,8.88419014215999,11.0638336954462,5.37498637421894,6.53745303159088,5.62400794921465,4.57274220603309,3.37763575369932,3.74976920244555,6.87699973712788,9.57000023115879,9.3619997877804,10.4339996276923,11.2959997513712,13.2089998275142,14.4440008939249,15.8789991998091,12.8000001402902,22.2101701918855,23.9577329490874,20.02141465743,21.2,24.8062125356045,23.1093894542091,21.0005345047085,23.9986004971918,26.5994216024397,19.7,22.9369285370568,28.3775071335618,29.0021402413634,21.6357464046476,20.1076838172284,21.4522983357091,22.8619948831672,26.7025969997331,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,53.3113903873838,9.72006257106538,24.2909399126125,2.38823531395595,17.1278210457805,29.9166480800588,33.8156190730492,37.1325002356473,42.9465572749426,34.0246351539743,32.3923308182525,33.9867792845386,30.0141184497345,29.1587338577184,28.5453046263673,27.2299598361177,22.2545814742778,26.4944736206358,25.4769400812817,26.5107438942819,27.8794568523524,26.9806786338453,20.5296255495333,23.6528067281215,23.8898295229141,24.5107766356834,25.2652882089715,22.6010970355635,21.5090128821749,20.2701522874506,19.9876922295246,20.920602011057,21.2255918649296,22.5812275075738,23.8261490097342,25.275119812591,25.1532998849808,24.1804299292567,26.5310250503649,24.3961155671745,21.4047173174333,24.2197667969111,25.6914757443984,23.6771570272493,18.3132495434919,16.192411658378,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,15.7671737167465,11.2950981467266,26.5310948214708,27.0641389085755,41.3400758533502,41.6537025513379,37.1793442570736,27.4834310904737,26.5476512255898,29.9616786786337,33.2211197732105,33.6986191393706,34.1398970935892,38.1142264233404,37.884827670796,29.4477977310216,31.1528799717214,35.9083191850594,32.0777479892761,35.2456131529991,37.7972633304438,36.6000017387524,39.8809399488893,34.5199576433571,27.5299347534271,24.7929068179981,31.4736969589216,31.9753922032026,40.0158971502458,32.3913958393408,31.734783403217,26.9029628967972,23.5557004235403,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,10.3008821955313,8.91613342244711,8.77929345925149,10.555907507127,12.8165662615583,13.3092991225741,10.757172399346,12.9411761856776,15.1443654049175,11.4084182873608,12.8256302521008,14.3843208383716,12.1258270537412,13.6851931528473,18.5987669731082,16.0947912682648,21.4051715128952,20.0383168527355,21.6189491399799,18.7451100166515,15.8655615129783,17.0316586110813,14.1447743634654,11.0718227346321,11.5723335289062,11.4974192885225,10.3327439498301,13.9105645887828,13.6991972689578,13.5151110592917,13.6026147116177,14.2952804419133,18.3253187154602,17.2462854326623,15.6812995803929,15.0551087041391,12.6867821057714,13.6845417528487,17.3955162181317,17.3539932275072,17.8353874290357,19.6591594104688,20.5539091287257,20.3006019738675,20.8465549009899,19.7359154166801,20.8241438137873,20.8310586678413,16.4020867166996,12.900895229852,14.6636112580058,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9300165338945,16.2584724445461,17.0873397577579,17.1829244561818,24.5258165293951,22.3841427305596,21.2203061228623,21.6962636584007,20.9929015636439,21.39362806603,20.7825062239536,21.0087092324176,19.4380517995864,19.8473887287917,19.703165749378,16.1421445941388,14.0435193317976,21.6155768977766,20.7276560795322,19.5344213713614,17.2291343694929,14.2437895544775,15.57571234089,21.2650136924532,20.0957731470562,
Guinea-Bissau,,,,,,,,,,,29.5729572953736,28.0002837498636,22.7521501172792,20.8898614150255,16.8152449021416,15.3973986838315,16.2586636111381,19.78042613469,21.6951335854584,21.8370772570715,28.1809613572102,25.7457080562298,28.2595184761723,22.6619445217469,37.7245506962601,35.1001427867031,23.779645771377,35.2144648254562,44.7013037050842,38.9819321631782,29.9258188325788,30.9893743304602,48.3967391105233,30.8574691443868,21.7707041290992,22.3010548103925,23.0520755311084,23.9992548406648,11.3350082101806,16.8,11.3,15,9.64568541749993,,,,,,,,,
Guyana,28.2727895819054,23.9799121155053,16.6367444643926,16.8934616661135,16.052710392333,22.2344827586207,23.8683127572016,25.8170703033153,22.2633297062024,20.8182912154031,22.7595220313667,18.6314493816812,19.8398141746605,27.2177419354839,26.4062000157134,33.0610517406706,37.452690078766,29.0744190180658,20.5095848042176,30.993138520308,32.7586206896552,31.3713224845114,24.9654218533887,21.3896457765668,27.4203236591096,35.7948717948718,40.1382512155282,31.1079112544154,21.1454815627408,22.2362059855926,31.1330983678688,41.1595703356644,52.4949308977816,41.509332298806,27.2228778479473,33.2286832003916,31.8572068902825,31.8879419687139,28.9207550942298,24.9979547325171,23.7759824672101,22.0624858248845,20.966483262327,20.9841607892713,23.6024722293123,24.7847736961176,28.6377772602102,24.0515459233513,21.3667769249435,25.6569025908166,26.7325662213298,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.367981412845,22.1202164669501,13.8373197478629,10.2005694796458,26.089518524884,28.1310294559019,24.5292102583094,26.0044129085512,27.6980391024345,27.3369425109564,25.855309218203,25.0670013187561,30.6935653568029,27.3429875985668,27.4180974201803,29.3438075290466,30.4811230748262,28.8443273873658,27.4109792284866,24.998689285848,
Honduras,13.8984067402786,12.1841661987647,14.8936164067109,15.9556313993174,14.617067833698,14.6171237589698,16.0378211535501,19.6539045551956,18.4987626840133,19.3712565570656,20.8852005532503,17.0998632010944,15.9402247946291,19.0684938193883,26.1962300628323,18.9501779359431,19.2136507638529,23.0607970877182,26.5612857475829,26.7821456171569,24.7661727231031,21.0675651711296,14.1036678314733,13.8446540276337,17.4148840012052,17.3238085200505,13.850597231661,17.4111982076239,20.9923251540374,19.1407009821938,22.9799792613863,24.6536716930244,25.9627659574468,33.5581118603729,37.630794816714,31.5567760684672,31.1286979461089,32.1684251724532,30.9264885431159,34.6736536266473,28.2884230363445,26.0009654378028,24.258394514496,25.2808975219135,29.6655510447601,27.6235209729321,28.3419244753778,33.6652961335208,36.0658733182267,19.8457891462571,22.9556573471411,
"Hong Kong, China",27.6886861856109,25.0647978755125,26.7380705610225,31.6816542357798,34.307537798447,34.9082305706911,27.654805267582,20.1163542340013,16.6192752132615,16.3671935334397,20.4112554112554,24.3742259916689,23.4518776423775,22.9071795368666,24.2213505777589,22.9568059394355,25.3876245228932,26.5439348829587,28.7579640131625,32.6810802164698,34.846794326439,34.9984100829648,31.0043601080816,26.6966443759445,24.4465238283332,21.5090509097871,23.4246566760225,26.0387100708694,28.2797235864974,26.3981815062618,27.0282995241673,26.7855383848743,28.0498135593641,27.1274876184811,31.2199872072709,34.0598473298863,31.5782025098395,34.007021121973,28.8590957050165,24.8459738463433,27.456001214283,25.3216935110197,22.8358101453519,21.9222181458598,21.8364407166681,20.5707404219617,21.7277580951593,20.934169527363,20.4430382388667,21.3071757641208,23.7135707150468,
Hungary,27.8329452586404,27.6660405061105,26.9626005608892,28.5896319785228,29.4947719070972,25.5193121743356,26.2269948343481,30.2255023707777,30.9235814255875,30.5529026092417,33.596052299217,37.6658251281014,31.744423981993,29.6515666447556,35.7531384481053,37.7816593523678,36.1656797555594,37.2093664149091,41.3103817066028,34.2762894108006,30.6860592679094,29.6625773164152,28.5191969061331,26.4573550788907,25.7318673501926,25.0008223222768,26.8863886847906,26.703523406476,25.3184611667606,26.5900989823158,25.3879145920214,19.7307116535947,15.5083761260434,19.2496066763793,21.4067934962248,21.8016110466985,23.7736741971772,25.0314804624398,27.6501560563157,26.0919344866835,27.1002082886554,25.2438608894207,24.6700369142287,23.6492282562255,25.9048310531353,24.5359640440628,24.1401470274562,22.4310232052877,23.5421104226911,17.932619247199,18.4031411792178,
Iceland,,,,,,27.8685565265954,29.484275749888,33.0170879618011,33.496570778189,26.2540117452397,24.9806746128018,33.4069811516331,28.4742867339602,32.3733639187507,36.3465494783719,35.4788164161487,28.7793678060841,30.0287505317096,24.7989098677455,25.067377668942,27.0529576594276,26.7927156207265,28.0419761773114,21.0208214914052,23.1715674293614,20.7697083258813,18.4314769619993,20.703585180818,20.8355359276089,18.8048924064715,18.9769203051655,20.0311082490074,18.1041266239799,16.9115192521283,16.0055664184826,16.3420200569903,18.9500061217634,19.6891428996714,24.1383741707554,21.8030874190583,23.2349049705703,21.2732828918039,18.1970577321152,19.7759521913863,23.4974076568363,28.1934036136937,35.6074061073032,29.0153016862877,24.6816707910842,14.0326444605045,12.784933676896,
India,15.1270800583971,14.7868898314251,15.6663199191215,15.7818504414647,15.594179094073,16.1300685322673,16.3728674592413,15.005520695877,14.1643779879972,15.1115524966511,15.5916884689399,16.7094077499344,15.9714971332271,16.4779912085265,18.1381174610461,18.7898505123425,18.9176978766074,18.4686174559321,20.5170107119448,21.209938193279,18.5485313338378,22.1872895992506,21.4237486849612,19.4907521855406,21.3525201790844,23.4656808729961,23.0271015450295,22.0001620741014,23.6373786602156,23.7221233421642,24.1559344409646,21.976268043725,23.7728062121391,21.2203671727468,23.5262324713221,26.593433701428,22.1207920691534,23.900932320035,22.635006072982,26.1018885419575,24.1642780288768,24.1795790345738,25.2383216387778,26.7721766442643,32.8183963464416,34.6620500828033,35.6703539534459,38.1421081953287,34.5197409891372,36.4750252317805,34.7693847354549,
Indonesia,9.22330097087379,11.8951612903226,6.52945321654719,9.53927902509518,14.0541976620616,7.78577130323112,5.26563668069558,9.31645598736679,10.2414439933963,13.5784003318496,15.8317133608941,18.3737647095913,21.8427311296831,20.8087508809512,19.5214839064766,23.6643062822051,24.1043041252016,23.3837220011135,23.8879284253672,24.8260070295049,24.0682784655691,26.6940881353589,27.7566384508931,31.3208222549239,26.8335900145579,27.9574168981538,29.5461937185884,30.1935078209818,28.844528518992,32.5639919257535,30.6682469228302,31.5539620512118,30.4778873313574,29.478423346887,31.0572933561349,31.928139074706,30.6914984215994,31.7512617751425,16.774963791539,11.3674011327568,22.2456969315568,22.539266316067,21.4040702075173,25.598498895472,24.0563655993772,25.0814093991373,25.4002172943541,24.9202838487256,27.8162445798583,30.9985186543823,32.487239216823,
Iran,,,,,,27.2392312681403,27.338189616558,26.523761103928,32.339149212594,30.2256373264756,29.9290420554925,24.5566715985443,31.1800502882141,25.4704827582747,16.9472159020358,23.0514100355612,28.3646959827094,29.5949468638317,22.2451675512388,13.7215035880006,31.140120665871,27.1438423575513,19.8856583234962,27.4280415392106,24.3035905854768,21.1078736749816,17.47860399224,21.376132182782,17.3252649333923,21.6729531771636,37.1827051244274,45.703699596228,46.2682490119178,33.2775312965978,22.7357878868735,29.1956400059158,35.8814927637144,35.7456103643942,32.8422524594356,29.7444929424837,32.976585837094,32.8602330192297,35.0977970289266,36.2860200752239,36.0184547720109,32.6937837963356,32.5567605859814,33.1589699133598,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,23.1357876334526,22.7247566584043,23.7364836001574,25.4155830799234,27.4876315517172,22.1056412407816,24.0572009033177,26.4445124376871,27.5053933531773,31.2807210993858,26.3567792942424,26.8760649205645,26.3091208567981,22.5685899632359,21.5581885186451,18.9034918603716,17.7465208238355,16.1599773950472,15.7526939416829,17.7745050768648,20.7840617384,18.99367526115,16.0626682536064,14.9352411199089,15.9439652716315,18.2215575917033,19.7108690509857,21.4329418212826,23.3337124021433,23.7435379555992,23.8727665378432,22.6217351896372,22.0436219745552,23.2680545458162,24.622955426346,27.1284719300653,28.0335177641215,26.0620906739507,21.5755544746738,14.3394231960963,11.0405473429916,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
